#FILE:Mr. Krabs
#Vertices 3366
#Arcs 3476
#MaxPath 16
#LeafN 2001
Rank	Count	Synset
1	60	person.n.01
2	25	artifact.n.01
3	23	state.n.02
4	23	activity.n.01
5	22	quality.n.01
6	22	device.n.01
7	20	happening.n.01
8	20	time_period.n.01
9	18	material.n.01
10	17	act.n.02
11	17	message.n.02
12	17	condition.n.01
13	14	body_part.n.01
14	13	feeling.n.01
15	12	instrumentality.n.03
16	12	property.n.02
17	12	structure.n.01
18	11	animal.n.01
19	11	relation.n.01
20	11	speech_act.n.01
21	11	attribute.n.02
22	11	content.n.05
23	11	group_action.n.01
24	11	container.n.01
25	10	abstraction.n.06
26	10	chemical_element.n.01
27	10	measure.n.02
28	10	communication.n.02
29	10	collection.n.01
30	9	physical_entity.n.01
31	9	object.n.01
32	9	cognition.n.01
33	9	covering.n.02
34	9	change.n.03
35	9	garment.n.01
36	9	statement.n.01
37	8	organism.n.01
38	8	action.n.01
39	8	implement.n.01
40	8	group.n.01
41	8	building.n.01
42	8	representation.n.02
43	8	legal_document.n.01
44	7	matter.n.03
45	7	causal_agent.n.01
46	7	appearance.n.01
47	7	area.n.01
48	7	organ.n.01
49	7	concept.n.01
50	7	relative.n.01
51	7	region.n.01
52	7	natural_object.n.01
53	7	organization.n.01
54	7	diversion.n.01
55	7	dish.n.02
56	7	food.n.02
57	7	shape.n.02
58	7	room.n.01
59	7	clothing.n.01
60	7	assets.n.01
61	7	structure.n.04
62	7	gathering.n.01
63	7	large_integer.n.01
64	7	disease.n.01
65	7	vessel.n.03
66	6	event.n.01
67	6	substance.n.01
68	6	basic_cognitive_process.n.01
69	6	man.n.01
70	6	emotion.n.01
71	6	location.n.01
72	6	gas.n.02
73	6	invertebrate.n.01
74	6	motion.n.06
75	6	compound.n.02
76	6	unit_of_measurement.n.01
77	6	social_group.n.01
78	6	unit.n.03
79	6	foodstuff.n.02
80	6	simpleton.n.01
81	6	vascular_plant.n.01
82	6	work.n.01
83	6	facility.n.01
84	6	equipment.n.01
85	6	writing.n.02
86	6	fastener.n.02
87	6	leader.n.01
88	6	mixture.n.01
89	5	psychological_feature.n.01
90	5	sound.n.04
91	5	whole.n.02
92	5	placental.n.01
93	5	unfortunate.n.01
94	5	situation.n.01
95	5	adult.n.01
96	5	male.n.02
97	5	region.n.03
98	5	thing.n.12
99	5	time.n.05
100	5	idea.n.01
101	5	geological_formation.n.01
102	5	food.n.01
103	5	worker.n.01
104	5	skilled_worker.n.01
105	5	way.n.06
