#FILE:Patrick
#Vertices 4197
#Arcs 4333
#MaxPath 18
#LeafN 2756
Rank	Count	Synset
1	131	person.n.01
2	49	artifact.n.01
3	49	activity.n.01
4	48	device.n.01
5	47	state.n.02
6	44	quality.n.01
7	41	happening.n.01
8	41	time_period.n.01
9	37	material.n.01
10	36	condition.n.01
11	35	message.n.02
12	34	act.n.02
13	28	body_part.n.01
14	27	feeling.n.01
15	27	property.n.02
16	27	structure.n.01
17	24	group_action.n.01
18	23	instrumentality.n.03
19	23	collection.n.01
20	22	content.n.05
21	22	container.n.01
22	21	relation.n.01
23	21	speech_act.n.01
24	21	communication.n.02
25	20	animal.n.01
26	20	measure.n.02
27	20	garment.n.01
28	19	chemical_element.n.01
29	19	attribute.n.02
30	19	statement.n.01
31	18	object.n.01
32	18	cognition.n.01
33	18	covering.n.02
34	17	action.n.01
35	17	change.n.03
36	17	room.n.01
37	17	building.n.01
38	17	representation.n.02
39	16	abstraction.n.06
40	16	organism.n.01
41	16	implement.n.01
42	16	group.n.01
43	16	food.n.02
44	16	legal_document.n.01
45	15	man.n.01
46	15	concept.n.01
47	15	natural_object.n.01
48	15	diversion.n.01
49	15	dish.n.02
50	15	gathering.n.01
51	15	large_integer.n.01
52	15	disease.n.01
53	15	vessel.n.03
54	14	physical_entity.n.01
55	14	matter.n.03
56	14	relative.n.01
57	14	region.n.01
58	14	unit_of_measurement.n.01
59	14	organization.n.01
60	14	shape.n.02
61	14	clothing.n.01
62	14	assets.n.01
63	14	structure.n.04
64	14	fastener.n.02
65	13	causal_agent.n.01
66	13	appearance.n.01
67	13	area.n.01
68	13	organ.n.01
69	13	compound.n.02
70	13	unit.n.03
71	13	simpleton.n.01
72	13	vascular_plant.n.01
73	13	equipment.n.01
74	13	writing.n.02
75	13	leader.n.01
76	13	bodily_process.n.01
77	12	sound.n.04
78	12	basic_cognitive_process.n.01
79	12	geological_formation.n.01
80	12	skilled_worker.n.01
81	12	social_group.n.01
82	12	foodstuff.n.02
83	12	work.n.01
84	12	facility.n.01
85	12	symptom.n.01
86	12	mixture.n.01
87	12	metallic_element.n.01
88	11	placental.n.01
89	11	substance.n.01
90	11	emotion.n.01
91	11	location.n.01
92	11	gas.n.02
93	11	invertebrate.n.01
94	11	motion.n.06
95	11	idea.n.01
96	11	worker.n.01
97	11	artist.n.01
98	11	traveler.n.01
99	11	physical_phenomenon.n.01
100	11	spiritual_being.n.01
101	11	utterance.n.01
102	11	information.n.01
103	11	people.n.01
104	11	change_of_state.n.01
105	10	event.n.01
106	10	unfortunate.n.01
107	10	situation.n.01
108	10	food.n.01
109	10	beverage.n.01
110	10	indefinite_quantity.n.01
111	10	change.n.01
112	10	sport.n.01
113	10	way.n.06
114	10	external_body_part.n.01
115	10	information.n.02
116	10	curve.n.01
117	10	herb.n.01
118	10	belief.n.01
119	10	signal.n.01
120	10	written_communication.n.01
121	10	bad_person.n.01
122	10	deceiver.n.01
123	10	cognitive_state.n.01
124	10	status.n.01
125	10	wit.n.01
126	10	noise.n.01
127	9	adult.n.01
128	9	male.n.02
129	9	region.n.03
130	9	thing.n.12
131	9	time.n.05
132	9	propulsion.n.02
133	9	representation.n.01
134	9	commerce.n.01
135	9	point.n.02
136	9	woman.n.01
137	9	animal_tissue.n.01
138	9	physical_condition.n.01
139	9	tract.n.01
140	9	support.n.10
141	9	chromatic_color.n.01
142	9	plant_organ.n.01
143	9	acknowledgment.n.03
144	9	communicator.n.01
145	9	visual_communication.n.01
146	9	instrument.n.01
147	8	psychological_feature.n.01
148	8	whole.n.02
149	8	vertebrate.n.01
150	8	communication.n.01
151	8	possession.n.02
152	8	transferred_property.n.01
153	8	machine.n.01
154	8	point.n.06
155	8	movement.n.03
156	8	vessel.n.02
157	8	time_unit.n.01
158	8	ending.n.04
159	8	nutriment.n.01
160	8	solid.n.01
161	8	vegetable.n.01
162	8	waste.n.01
163	8	season.n.02
164	8	meal.n.01
165	8	magnitude.n.01
166	8	protective_covering.n.01
167	8	mechanism.n.05
168	8	crime.n.01
169	8	expressive_style.n.01
170	8	ability.n.02
171	8	imagination.n.01
172	8	document.n.01
173	8	secretion.n.02
174	8	decoration.n.01
175	8	psychological_state.n.01
