#FILE:Plankton
#Vertices 4707
#Arcs 4865
#MaxPath 18
#LeafN 3268
Rank	Count	Synset
1	205	person.n.01
2	78	activity.n.01
3	75	device.n.01
4	73	artifact.n.01
5	72	state.n.02
6	67	quality.n.01
7	64	happening.n.01
8	62	time_period.n.01
9	57	condition.n.01
10	56	material.n.01
11	55	message.n.02
12	52	act.n.02
13	43	property.n.02
14	43	structure.n.01
15	42	feeling.n.01
16	42	body_part.n.01
17	37	group_action.n.01
18	37	collection.n.01
19	34	instrumentality.n.03
20	34	container.n.01
21	33	content.n.05
22	32	relation.n.01
23	32	speech_act.n.01
24	32	communication.n.02
25	32	garment.n.01
26	31	animal.n.01
27	30	measure.n.02
28	30	statement.n.01
29	29	object.n.01
30	28	chemical_element.n.01
31	28	cognition.n.01
32	28	action.n.01
33	27	attribute.n.02
34	27	covering.n.02
35	27	room.n.01
36	26	implement.n.01
37	26	building.n.01
38	26	representation.n.02
39	25	man.n.01
40	25	change.n.03
41	25	dish.n.02
42	25	food.n.02
43	24	organism.n.01
44	24	group.n.01
45	24	organization.n.01
46	24	legal_document.n.01
47	23	sound.n.04
48	23	concept.n.01
49	23	natural_object.n.01
50	23	unit_of_measurement.n.01
51	23	diversion.n.01
52	23	gathering.n.01
53	23	large_integer.n.01
54	23	disease.n.01
55	23	vessel.n.03
56	22	abstraction.n.06
57	22	compound.n.02
58	22	fastener.n.02
59	21	matter.n.03
60	21	relative.n.01
61	21	region.n.01
62	21	shape.n.02
63	21	simpleton.n.01
64	21	clothing.n.01
65	21	assets.n.01
66	21	structure.n.04
67	21	symptom.n.01
68	21	writing.n.02
69	21	leader.n.01
70	21	bodily_process.n.01
71	20	appearance.n.01
72	20	area.n.01
73	20	unit.n.03
74	20	vascular_plant.n.01
75	20	equipment.n.01
76	20	metallic_element.n.01
77	19	physical_entity.n.01
78	19	causal_agent.n.01
79	19	organ.n.01
80	19	geological_formation.n.01
81	19	skilled_worker.n.01
82	19	traveler.n.01
83	18	basic_cognitive_process.n.01
84	18	social_group.n.01
85	18	change.n.01
86	18	foodstuff.n.02
87	18	work.n.01
88	18	herb.n.01
89	18	physical_phenomenon.n.01
90	18	utterance.n.01
91	18	facility.n.01
92	18	mixture.n.01
93	17	placental.n.01
94	17	substance.n.01
95	17	emotion.n.01
96	17	motion.n.06
97	17	idea.n.01
98	17	worker.n.01
99	17	artist.n.01
100	17	spiritual_being.n.01
101	17	information.n.01
102	17	people.n.01
103	17	status.n.01
104	17	change_of_state.n.01
105	16	location.n.01
106	16	gas.n.02
107	16	invertebrate.n.01
108	16	beverage.n.01
109	16	indefinite_quantity.n.01
