#FILE:Plankton.txt
#Vertices 3680
#Arcs 3369
#MaxPath 17
#LeafN 2562
Rank	Count	Synset
0	55	person.n.01
1	28	activity.n.01
2	18	artifact.n.01
3	16	quality.n.01
4	16	device.n.01
5	16	act.n.02
6	16	time_period.n.01
7	15	message.n.02
8	15	happening.n.01
9	15	change.v.02
10	15	change.v.01
11	14	move.v.02
12	13	condition.n.01
13	13	travel.v.01
14	12	state.n.02
15	12	property.n.02
16	12	large_integer.n.01
17	11	body_part.n.01
18	11	cognition.n.01
19	11	material.n.01
20	10	communication.n.02
21	10	instrumentality.n.03
22	10	structure.n.01
23	10	speech_act.n.01
24	10	feeling.n.01
25	9	animal.n.01
26	9	be.v.01
27	8	statement.n.01
28	8	object.n.01
29	8	measure.n.02
30	8	indefinite_quantity.n.01
31	8	organization.n.01
32	8	container.n.01
33	8	unit_of_measurement.n.01
34	8	group_action.n.01
35	8	make.v.03
36	8	people.n.01
37	8	collection.n.01
38	7	attribute.n.02
39	7	implement.n.01
40	7	action.n.01
41	7	change.n.03
42	7	shape.n.02
43	7	digit.n.01
44	7	natural_object.n.01
45	7	writing.n.02
46	7	sound.n.04
47	7	simpleton.n.01
48	7	legal_document.n.01
49	6	abstraction.n.06
50	6	get.v.01
51	6	relation.n.01
52	6	matter.n.03
53	6	content.n.05
54	6	motion.n.06
55	6	location.n.01
56	6	organism.n.01
57	6	concept.n.01
58	6	act.v.01
59	6	creation.n.02
60	6	unit.n.03
61	6	ending.n.04
62	6	ability.n.02
63	6	substance.n.01
64	6	plant_organ.n.01
65	6	movement.n.03
66	6	worker.n.01
67	6	natural_process.n.01
68	6	evaluate.v.02
69	6	work.n.01
70	6	inform.v.01
71	6	move.v.03
72	6	garment.n.01
73	6	covering.n.02
74	6	chemical_element.n.01
75	6	compound.n.02
76	6	unpleasant_person.n.01
77	5	information.n.01
78	5	physical_entity.n.01
79	5	assets.n.01
80	5	idea.n.01
81	5	causal_agent.n.01
82	5	communicate.v.02
83	5	region.n.01
84	5	group.n.01
85	5	information.n.02
86	5	area.n.01
87	5	placental.n.01
88	5	support.n.10
89	5	small_indefinite_quantity.n.01
90	5	give.v.03
91	5	gathering.n.01
92	5	herb.n.01
93	5	food.n.02
94	5	representation.n.02
95	5	american_state.n.01
96	5	arouse.v.01
97	5	emotion.n.01
98	5	man.n.01
