#FILE:Sandy
#Vertices 4994
#Arcs 5161
#MaxPath 18
#LeafN 3537
Rank	Count	Synset
1	282	person.n.01
2	108	activity.n.01
3	105	device.n.01
4	98	state.n.02
5	98	artifact.n.01
6	90	quality.n.01
7	87	happening.n.01
8	83	time_period.n.01
9	78	condition.n.01
10	75	material.n.01
11	75	message.n.02
12	71	act.n.02
13	61	structure.n.01
14	59	property.n.02
15	58	body_part.n.01
16	57	feeling.n.01
17	52	collection.n.01
18	51	group_action.n.01
19	48	container.n.01
20	45	relation.n.01
21	45	instrumentality.n.03
22	44	content.n.05
23	44	garment.n.01
24	43	speech_act.n.01
25	43	communication.n.02
26	42	animal.n.01
27	42	statement.n.01
28	40	object.n.01
29	40	measure.n.02
30	39	action.n.01
31	38	chemical_element.n.01
32	38	cognition.n.01
33	38	implement.n.01
34	37	dish.n.02
35	37	room.n.01
36	36	covering.n.02
37	36	building.n.01
38	35	sound.n.04
39	35	attribute.n.02
40	35	man.n.01
41	35	food.n.02
42	35	representation.n.02
43	34	organization.n.01
44	33	change.n.03
45	32	organism.n.01
46	32	natural_object.n.01
47	32	unit_of_measurement.n.01
48	32	group.n.01
49	32	legal_document.n.01
50	32	vessel.n.03
51	31	concept.n.01
52	31	compound.n.02
53	31	diversion.n.01
54	31	gathering.n.01
55	31	large_integer.n.01
56	31	disease.n.01
57	31	metallic_element.n.01
58	30	simpleton.n.01
59	30	symptom.n.01
60	30	fastener.n.02
61	29	relative.n.01
62	29	structure.n.04
63	29	writing.n.02
64	29	leader.n.01
65	29	bodily_process.n.01
66	28	abstraction.n.06
67	28	matter.n.03
68	28	geological_formation.n.01
69	28	region.n.01
70	28	shape.n.02
71	28	clothing.n.01
72	28	assets.n.01
73	28	vascular_plant.n.01
74	28	traveler.n.01
75	27	appearance.n.01
76	27	area.n.01
77	27	unit.n.03
78	27	herb.n.01
79	27	equipment.n.01
80	26	skilled_worker.n.01
81	26	change.n.01
82	25	causal_agent.n.01
83	25	organ.n.01
84	25	social_group.n.01
85	25	physical_phenomenon.n.01
86	25	utterance.n.01
87	24	physical_entity.n.01
88	24	basic_cognitive_process.n.01
89	24	foodstuff.n.02
90	24	work.n.01
91	24	facility.n.01
92	24	status.n.01
93	24	mixture.n.01
94	23	placental.n.01
95	23	substance.n.01
96	23	emotion.n.01
97	23	motion.n.06
98	23	idea.n.01
99	23	worker.n.01
100	23	sport.n.01
101	23	artist.n.01
102	23	spiritual_being.n.01
103	23	information.n.01
104	23	people.n.01
105	23	acknowledgment.n.03
106	23	change_of_state.n.01
107	23	instrument.n.01
108	22	propulsion.n.02
109	22	beverage.n.01
110	22	indefinite_quantity.n.01
111	22	woman.n.01
112	22	support.n.10
113	22	deceiver.n.01
114	22	cognitive_state.n.01
115	22	wit.n.01
116	22	trait.n.01
117	21	situation.n.01
118	21	location.n.01
119	21	gas.n.02
120	21	invertebrate.n.01
121	21	external_body_part.n.01
122	21	physical_condition.n.01
123	21	signal.n.01
124	21	psychological_state.n.01
125	20	event.n.01
126	20	unfortunate.n.01
127	20	food.n.01
128	20	ending.n.04
129	20	commerce.n.01
130	20	way.n.06
131	20	information.n.02
132	20	curve.n.01
133	20	tract.n.01
134	20	belief.n.01
135	20	written_communication.n.01
136	20	bad_person.n.01
137	20	noise.n.01
138	20	communicator.n.01
139	20	contestant.n.01
140	19	region.n.03
141	19	representation.n.01
142	19	point.n.02
143	19	animal_tissue.n.01
144	19	chromatic_color.n.01
145	19	ability.n.02
146	19	plant_organ.n.01
147	19	visual_communication.n.01
148	18	thing.n.12
149	18	machine.n.01
150	18	time_unit.n.01
151	18	solid.n.01
152	18	waste.n.01
153	18	meal.n.01
154	18	mechanism.n.05
155	18	decoration.n.01
156	18	defender.n.01
157	18	social_control.n.01
158	17	vertebrate.n.01
159	17	adult.n.01
160	17	male.n.02
161	17	time.n.05
162	17	process.n.06
163	17	being.n.01
164	17	space.n.02
165	17	topographic_point.n.01
166	17	motion.n.03
167	17	insect.n.01
168	17	protective_covering.n.01
169	17	mechanical_device.n.01
170	17	symbol.n.01
171	17	desire.n.01
172	17	edible_fruit.n.01
173	16	communication.n.01
174	16	possession.n.02
175	16	transferred_property.n.01
176	16	excavation.n.03
177	16	point.n.06
178	16	small_indefinite_quantity.n.01
179	16	movement.n.03
180	16	vehicle.n.01
181	16	vessel.n.02
182	16	nutriment.n.01
183	16	vegetable.n.01
184	16	consumer.n.01
185	16	wheeled_vehicle.n.01
186	16	fabric.n.01
187	16	season.n.02
188	16	magnitude.n.01
189	16	crime.n.01
190	16	expressive_style.n.01
191	16	imagination.n.01
192	16	employee.n.01
193	16	document.n.01
194	16	secretion.n.02
195	16	fruit.n.01
196	16	speech.n.02
197	16	approval.n.04
198	16	military_action.n.01
199	16	payment.n.01
200	16	accomplishment.n.01
201	16	condiment.n.01
202	16	drug.n.01
203	16	medicine.n.02
204	16	deity.n.01
205	16	unpleasant_person.n.01
206	15	part.n.01
207	15	fundamental_quantity.n.01
208	15	body_of_water.n.01
209	15	thinking.n.01
210	15	natural_process.n.01
211	15	plant_material.n.01
212	15	administrative_district.n.01
213	15	professional.n.01
214	15	evidence.n.02
215	15	piece_of_cloth.n.01
216	15	investigation.n.02
217	15	number.n.02
218	15	line.n.11
219	15	unwelcome_person.n.01
220	15	contest.n.01
221	15	case.n.05
222	15	attire.n.01
223	15	solid.n.03
224	15	tool.n.01
225	15	termination.n.05
226	14	psychological_feature.n.01
227	14	whole.n.02
228	14	travel.n.01
229	14	crustacean.n.01
230	14	change_of_location.n.01
231	14	music.n.01
232	14	meat.n.01
233	14	geographical_area.n.01
234	14	operation.n.05
235	14	car.n.01
236	14	share.n.01
237	14	arrangement.n.02
238	14	extremity.n.05
239	14	wrongdoer.n.01
240	14	furniture.n.01
241	14	institution.n.01
242	14	lover.n.01
243	14	cloth_covering.n.01
244	14	tableware.n.01
245	14	round_shape.n.01
246	14	workplace.n.01
247	14	creation.n.01
248	14	list.n.01
249	14	polygon.n.01
250	13	entity.n.01
251	13	fear.n.01
252	13	weaponry.n.01
253	13	sense_organ.n.01
254	13	organic_process.n.01
255	13	surface.n.01
256	13	internal_organ.n.01
257	13	difficulty.n.03
258	13	intellectual.n.01
259	13	liquid_body_substance.n.01
260	13	land.n.04
261	13	control.n.05
262	13	boundary.n.01
263	13	block.n.01
264	13	undertaking.n.01
265	13	inhabitant.n.01
266	13	building_material.n.01
267	13	toiletry.n.01
268	13	musical_instrument.n.01
269	13	containerful.n.01
270	12	carnivore.n.01
271	12	higher_cognitive_process.n.01
272	12	chemical.n.01
273	12	substance.n.07
274	12	physical_property.n.01
275	12	cost.n.01
276	12	medium_of_exchange.n.01
277	12	monetary_unit.n.01
278	12	arthropod.n.01
279	12	journey.n.01
280	12	auditory_communication.n.01
281	12	child.n.02
282	12	day.n.01
283	12	geographic_point.n.01
284	12	road.n.01
285	12	commodity.n.01
286	12	baked_goods.n.01
287	12	bread.n.01
288	12	enclosure.n.01
289	12	force.n.04
290	12	self-propelled_vehicle.n.01
291	12	motor_vehicle.n.01
292	12	american_state.n.01
293	12	indication.n.01
294	12	creation.n.02
295	12	social_event.n.01
296	12	fortune.n.04
297	12	limb.n.01
298	12	creator.n.02
299	12	part.n.02
300	12	advantage.n.01
301	12	position.n.07
302	12	amount.n.02
303	12	covering.n.01
304	12	connective_tissue.n.01
305	12	ill_health.n.01
306	12	natural_phenomenon.n.01
307	12	hour.n.02
308	12	art.n.01
309	12	shrub.n.01
310	12	wrongdoing.n.02
311	12	transgression.n.01
312	12	imaginary_being.n.01
313	12	medium.n.01
314	12	affair.n.03
315	12	bird.n.01
316	12	beginning.n.01
317	12	salt.n.01
318	12	celestial_body.n.01
319	12	currency.n.01
320	12	written_record.n.01
321	12	nonsense.n.01
322	12	official.n.01
323	12	position.n.01
324	12	dairy_product.n.01
325	12	improvement.n.02
326	12	maneuver.n.04
327	12	passage.n.07
328	12	primate.n.02
329	12	system.n.02
330	12	song.n.01
331	12	cry.n.01
332	12	aristocrat.n.01
333	12	look.n.02
334	12	seat.n.03
335	12	sports_equipment.n.01
336	12	administrative_unit.n.01
337	12	writing.n.04
338	12	standing.n.01
339	12	section.n.01
340	12	woman's_clothing.n.01
341	12	animal_skin.n.01
342	12	performer.n.01
343	11	cry.n.05
344	11	cooking_utensil.n.01
345	11	soil.n.02
346	11	extremity.n.04
347	11	name.n.01
348	11	boat.n.01
349	11	cord.n.01
350	11	performing_arts.n.01
351	11	area.n.05
352	11	doctor.n.01
353	11	large_indefinite_quantity.n.01
354	11	plan_of_action.n.01
355	11	product.n.02
356	11	show.n.03
357	11	paper.n.01
358	11	asset.n.01
359	11	sweet.n.03
360	11	astonishment.n.01
361	11	phenomenon.n.01
362	11	laugh.n.01
363	11	color.n.01
364	11	award.n.02
365	11	occupation.n.01
366	11	anger.n.01
367	11	furnishing.n.02
368	11	table.n.02
369	11	side.n.05
370	11	commercial_document.n.01
371	11	lipid.n.01
372	11	saltwater_fish.n.01
373	11	proposal.n.01
374	11	robbery.n.01
375	11	rodent.n.01
376	11	plumbing_fixture.n.01
377	11	performance.n.01
378	11	site.n.01
379	11	natural_elevation.n.01
380	11	geological_phenomenon.n.01
381	11	writing_implement.n.01
382	11	passage.n.03
383	10	commoner.n.01
384	10	failure.n.02
385	10	brightness.n.01
386	10	undergarment.n.01
387	10	flower.n.01
388	10	compartment.n.02
389	10	plaything.n.01
390	10	body_covering.n.01
391	10	woody_plant.n.01
392	10	pain.n.01
393	10	nonaccomplishment.n.01
394	10	atmospheric_phenomenon.n.01
395	10	game.n.01
396	10	record.n.01
397	10	care.n.01
398	10	touch.n.05
399	10	deception.n.02
400	10	coin.n.01
401	10	ruler.n.01
402	10	spouse.n.01
403	10	in-law.n.01
404	10	practice.n.01
405	10	exercise.n.01
406	10	criminal.n.01
407	10	sensing.n.02
408	10	fiber.n.01
409	10	organic_compound.n.01
410	10	seafood.n.01
411	10	agreement.n.01
412	10	sheet.n.06
413	10	timepiece.n.01
414	10	lawman.n.01
415	10	expert.n.01
416	10	wind.n.01
417	10	explanation.n.01
418	10	beauty_treatment.n.01
419	10	periodic_event.n.01
420	10	disturbance.n.05
421	10	projectile.n.01
422	10	evil_spirit.n.01
423	10	mythical_monster.n.01
424	10	merchant.n.01
425	10	situation.n.03
426	9	living_thing.n.01
427	9	prisoner.n.01
428	9	process.n.02
429	9	imagination.n.02
430	9	footwear.n.02
431	9	ammunition.n.01
432	9	fluid.n.02
433	9	part.n.03
434	9	present.n.01
435	9	child.n.01
436	9	humanistic_discipline.n.01
437	9	customer.n.01
438	9	placement.n.01
439	9	injury.n.01
440	9	spatial_property.n.01
441	9	precipitation.n.03
442	9	acquiring.n.01
443	9	maneuver.n.03
444	9	side.n.04
445	9	workman.n.01
446	9	copy.n.02
447	9	city.n.01
448	9	friend.n.01
449	9	negotiator.n.01
450	9	microorganism.n.01
451	9	linear_unit.n.01
452	9	mistreatment.n.01
453	9	hand_tool.n.01
454	9	assistant.n.01
455	9	communicable_disease.n.01
456	9	drug_of_abuse.n.01
457	9	change_of_integrity.n.01
458	9	weapon.n.01
459	9	band.n.07
460	9	management.n.01
461	9	scientist.n.01
462	9	teleost_fish.n.01
463	9	oxide.n.01
464	9	digit.n.03
465	8	kitchen_utensil.n.01
466	8	sensation.n.01
467	8	smell.n.01
468	8	horizontal_surface.n.01
469	8	ancestor.n.01
470	8	parent.n.01
471	8	mother.n.01
472	8	slope.n.01
473	8	chemical_process.n.01
474	8	liquid.n.01
475	8	money.n.01
476	8	language_unit.n.01
477	8	establishment.n.04
478	8	place_of_business.n.01
479	8	relative_quantity.n.01
480	8	definite_quantity.n.01
481	8	conveyance.n.03
482	8	pause.n.01
483	8	line.n.18
484	8	musical_composition.n.01
485	8	entertainment.n.01
486	8	show.n.01
487	8	discipline.n.01
488	8	flavorer.n.01
489	8	sweetening.n.01
490	8	mollusk.n.01
491	8	cognitive_factor.n.01
492	8	transaction.n.01
493	8	produce.n.01
494	8	visual_property.n.01
495	8	district.n.01
496	8	municipality.n.01
497	8	housing.n.01
498	8	dwelling.n.01
499	8	bag.n.01
500	8	consumer_goods.n.01
501	8	attack.n.01
502	8	abstraction.n.01
503	8	starches.n.01
504	8	military_service.n.01
505	8	girl.n.01
506	8	female.n.02
507	8	disorder.n.03
508	8	sum.n.01
509	8	fractional_monetary_unit.n.01
510	8	solanaceous_vegetable.n.01
511	8	informing.n.02
512	8	line.n.04
513	8	calendar_day.n.01
514	8	day.n.03
515	8	anniversary.n.01
516	8	mathematical_statement.n.01
517	8	science.n.01
518	8	resistance.n.11
519	8	electrical_device.n.01
520	8	integer.n.01
521	8	digit.n.01
522	8	treasure.n.01
523	8	datum.n.01
524	8	motivation.n.01
525	8	need.n.01
526	8	urgency.n.01
527	8	painting.n.01
528	8	consideration.n.01
529	8	work.n.02
530	8	swindle.n.01
531	8	social_gathering.n.01
532	8	adipose_tissue.n.01
533	8	monster.n.01
534	8	electronic_equipment.n.01
535	8	telecommunication.n.01
536	8	obstruction.n.01
537	8	barrier.n.01
538	8	padding.n.01
539	8	horse.n.01
540	8	villain.n.01
541	8	horny_structure.n.01
542	8	decay.n.04
543	8	strip.n.02
544	8	weather.n.01
545	8	knowing.n.01
546	8	headdress.n.01
547	8	opening.n.10
548	8	common_fraction.n.01
549	8	father.n.01
550	8	capitalist.n.02
551	8	series.n.01
552	8	jewelry.n.01
553	8	jewel.n.01
554	8	baggage.n.01
555	8	outdoor_game.n.01
556	8	public_transport.n.01
557	8	box.n.01
558	8	acquisition.n.01
559	8	work_time.n.01
560	8	kinsman.n.01
561	8	saying.n.01
562	8	class.n.03
563	8	experience.n.02
564	8	spot.n.05
565	8	stalk.n.02
566	8	energy.n.01
567	8	framework.n.03
568	8	contact.n.04
569	8	set.n.01
570	8	overgarment.n.01
571	8	hit.n.02
572	8	opening.n.01
573	8	falsehood.n.01
574	8	photographic_equipment.n.01
575	8	front.n.04
576	8	adversity.n.01
577	8	text.n.01
578	8	leisure.n.01
579	8	hairpiece.n.01
580	8	appliance.n.02
581	8	white_goods.n.01
582	8	refrigerator.n.01
583	8	representative.n.01
584	8	grounder.n.01
585	8	conflict.n.01
586	8	source_of_illumination.n.01
587	8	acquisition.n.02
588	8	alga.n.01
589	8	sauce.n.01
590	8	land.n.02
591	8	vine.n.01
592	8	administrator.n.01
593	8	effort.n.02
594	8	thief.n.01
595	8	nongovernmental_organization.n.01
596	8	boundary.n.02
597	8	magnitude_relation.n.01
598	8	ratio.n.01
599	8	appraisal.n.01
600	8	regular_payment.n.01
601	8	control.n.09
602	8	field_game.n.01
603	8	avoirdupois_unit.n.01
