#FILE:SpongeBob
#Vertices 6170
#Arcs 6369
#MaxPath 18
#LeafN 4757
Rank	Count	Synset
1	369	person.n.01
2	142	activity.n.01
3	142	device.n.01
4	126	state.n.02
5	126	artifact.n.01
6	118	quality.n.01
7	111	happening.n.01
8	105	time_period.n.01
9	104	condition.n.01
10	96	material.n.01
11	96	message.n.02
12	92	act.n.02
13	82	structure.n.01
14	77	feeling.n.01
15	77	property.n.02
16	74	body_part.n.01
17	70	collection.n.01
18	68	container.n.01
19	65	group_action.n.01
20	60	relation.n.01
21	57	speech_act.n.01
22	57	instrumentality.n.03
23	57	statement.n.01
24	56	content.n.05
25	56	garment.n.01
26	54	animal.n.01
27	54	communication.n.02
28	54	dish.n.02
29	51	object.n.01
30	51	action.n.01
31	50	sound.n.04
32	50	chemical_element.n.01
33	50	measure.n.02
34	50	implement.n.01
35	49	cognition.n.01
36	49	building.n.01
37	48	room.n.01
38	47	metallic_element.n.01
39	46	man.n.01
40	45	covering.n.02
41	45	food.n.02
42	45	representation.n.02
43	44	organization.n.01
44	43	attribute.n.02
45	42	change.n.03
46	42	compound.n.02
47	42	symptom.n.01
48	42	large_integer.n.01
49	42	vessel.n.03
50	41	organism.n.01
51	41	natural_object.n.01
52	41	unit_of_measurement.n.01
53	41	group.n.01
54	41	diversion.n.01
55	40	traveler.n.01
56	40	gathering.n.01
57	40	legal_document.n.01
58	39	concept.n.01
59	39	simpleton.n.01
60	39	writing.n.02
61	39	fastener.n.02
62	39	bodily_process.n.01
63	39	disease.n.01
64	38	skilled_worker.n.01
65	38	herb.n.01
66	38	leader.n.01
67	37	relative.n.01
68	37	geological_formation.n.01
69	37	clothing.n.01
70	37	vascular_plant.n.01
71	37	structure.n.04
72	37	trait.n.01
73	36	matter.n.03
74	35	region.n.01
75	35	shape.n.02
76	35	assets.n.01
77	35	equipment.n.01
78	35	people.n.01
79	34	abstraction.n.06
80	34	appearance.n.01
81	34	area.n.01
82	34	unit.n.03
83	34	change.n.01
84	34	utterance.n.01
85	33	social_group.n.01
86	33	physical_phenomenon.n.01
87	32	organ.n.01
88	32	sport.n.01
89	32	facility.n.01
90	31	causal_agent.n.01
91	31	motion.n.06
92	31	woman.n.01
93	31	work.n.01
94	31	status.n.01
95	31	noise.n.01
96	30	placental.n.01
97	30	basic_cognitive_process.n.01
98	30	idea.n.01
99	30	worker.n.01
100	30	foodstuff.n.02
101	30	support.n.10
102	30	signal.n.01
103	30	acknowledgment.n.03
104	30	mixture.n.01
105	30	instrument.n.01
106	29	physical_entity.n.01
107	29	substance.n.01
108	29	situation.n.01
109	29	emotion.n.01
110	29	propulsion.n.02
111	29	beverage.n.01
112	29	artist.n.01
113	29	spiritual_being.n.01
114	29	information.n.01
115	29	psychological_state.n.01
116	29	cognitive_state.n.01
117	29	change_of_state.n.01
118	28	indefinite_quantity.n.01
119	28	physical_condition.n.01
120	28	deceiver.n.01
121	28	wit.n.01
122	27	unfortunate.n.01
123	27	location.n.01
124	27	invertebrate.n.01
125	27	external_body_part.n.01
126	27	unpleasant_person.n.01
127	26	gas.n.02
128	26	ending.n.04
129	26	commerce.n.01
130	26	way.n.06
131	26	animal_tissue.n.01
132	26	tract.n.01
133	26	belief.n.01
134	26	chromatic_color.n.01
135	26	communicator.n.01
136	26	contestant.n.01
137	25	event.n.01
138	25	food.n.01
139	25	small_indefinite_quantity.n.01
140	25	point.n.02
141	25	information.n.02
142	25	curve.n.01
143	25	ability.n.02
144	25	written_communication.n.01
145	25	bad_person.n.01
146	25	defender.n.01
147	24	adult.n.01
148	24	region.n.03
149	24	representation.n.01
150	24	motion.n.03
151	24	insect.n.01
152	24	plant_organ.n.01
153	24	visual_communication.n.01
154	23	thing.n.12
155	23	time.n.05
156	23	process.n.06
157	23	machine.n.01
158	23	time_unit.n.01
159	23	solid.n.01
160	23	waste.n.01
161	23	topographic_point.n.01
162	23	meal.n.01
163	23	protective_covering.n.01
164	23	mechanism.n.05
165	23	mechanical_device.n.01
166	23	decoration.n.01
167	23	payment.n.01
168	23	social_control.n.01
169	23	deity.n.01
170	23	edible_fruit.n.01
171	22	vertebrate.n.01
172	22	natural_process.n.01
173	22	being.n.01
174	22	movement.n.03
175	22	vessel.n.02
176	22	space.n.02
177	22	wheeled_vehicle.n.01
178	22	symbol.n.01
179	22	employee.n.01
180	22	desire.n.01
181	22	approval.n.04
182	22	condiment.n.01
183	22	medicine.n.02
184	21	male.n.02
185	21	excavation.n.03
186	21	vehicle.n.01
187	21	nutriment.n.01
188	21	consumer.n.01
189	21	fabric.n.01
190	21	document.n.01
191	21	fruit.n.01
192	21	wrongdoer.n.01
193	21	speech.n.02
194	21	accomplishment.n.01
195	21	termination.n.05
