#FILE:Squidward
#Vertices 6567
#Arcs 6783
#MaxPath 18
#LeafN 5139
Rank	Count	Synset
1	459	person.n.01
2	181	device.n.01
3	178	activity.n.01
4	156	state.n.02
5	155	artifact.n.01
6	148	quality.n.01
7	137	happening.n.01
8	130	condition.n.01
9	128	time_period.n.01
10	118	material.n.01
11	117	message.n.02
12	114	act.n.02
13	104	structure.n.01
14	98	feeling.n.01
15	95	property.n.02
16	91	body_part.n.01
17	89	container.n.01
18	89	collection.n.01
19	79	group_action.n.01
20	76	relation.n.01
21	73	dish.n.02
22	73	statement.n.01
23	71	speech_act.n.01
24	69	instrumentality.n.03
25	69	garment.n.01
26	68	content.n.05
27	67	sound.n.04
28	66	animal.n.01
29	65	communication.n.02
30	63	action.n.01
31	63	metallic_element.n.01
32	62	object.n.01
33	62	chemical_element.n.01
34	62	implement.n.01
35	62	building.n.01
36	60	cognition.n.01
37	60	measure.n.02
38	59	room.n.01
39	57	man.n.01
40	55	covering.n.02
41	55	organization.n.01
42	55	food.n.02
43	55	representation.n.02
44	55	large_integer.n.01
45	54	symptom.n.01
46	53	compound.n.02
47	53	trait.n.01
48	52	attribute.n.02
49	52	traveler.n.01
50	52	vessel.n.03
51	51	change.n.03
52	51	diversion.n.01
53	50	organism.n.01
54	50	natural_object.n.01
55	50	unit_of_measurement.n.01
56	50	skilled_worker.n.01
57	50	group.n.01
58	49	simpleton.n.01
59	49	herb.n.01
60	49	gathering.n.01
61	49	writing.n.02
62	49	legal_document.n.01
63	49	bodily_process.n.01
64	48	clothing.n.01
65	48	fastener.n.02
66	48	disease.n.01
67	47	concept.n.01
68	47	leader.n.01
69	47	people.n.01
70	46	matter.n.03
71	46	geological_formation.n.01
72	46	vascular_plant.n.01
73	45	relative.n.01
74	45	structure.n.04
75	43	utterance.n.01
76	43	equipment.n.01
77	43	noise.n.01
78	42	appearance.n.01
79	42	region.n.01
80	42	change.n.01
81	42	sport.n.01
82	42	shape.n.02
83	42	assets.n.01
84	42	physical_phenomenon.n.01
85	41	area.n.01
86	41	social_group.n.01
87	41	unit.n.03
88	40	abstraction.n.06
89	40	organ.n.01
90	40	woman.n.01
91	40	facility.n.01
92	39	placental.n.01
93	39	motion.n.06
94	39	support.n.10
95	39	signal.n.01
96	38	idea.n.01
97	38	work.n.01
98	38	psychological_state.n.01
99	38	status.n.01
100	38	unpleasant_person.n.01
101	37	causal_agent.n.01
102	37	situation.n.01
103	37	basic_cognitive_process.n.01
104	37	worker.n.01
105	37	acknowledgment.n.03
106	37	instrument.n.01
107	36	emotion.n.01
108	36	propulsion.n.02
109	36	beverage.n.01
110	36	foodstuff.n.02
111	36	artist.n.01
112	36	physical_condition.n.01
113	36	cognitive_state.n.01
114	36	mixture.n.01
115	35	substance.n.01
116	35	indefinite_quantity.n.01
117	35	small_indefinite_quantity.n.01
118	35	spiritual_being.n.01
119	35	information.n.01
120	35	change_of_state.n.01
121	34	physical_entity.n.01
122	34	unfortunate.n.01
123	34	tract.n.01
124	34	deceiver.n.01
125	34	wit.n.01
126	33	location.n.01
127	33	invertebrate.n.01
128	33	external_body_part.n.01
129	33	animal_tissue.n.01
130	33	belief.n.01
131	33	chromatic_color.n.01
132	32	ending.n.04
133	32	commerce.n.01
134	32	way.n.06
135	32	motion.n.03
136	32	insect.n.01
137	32	ability.n.02
138	32	defender.n.01
139	32	communicator.n.01
140	32	contestant.n.01
141	31	adult.n.01
142	31	gas.n.02
143	31	point.n.02
144	30	event.n.01
145	30	food.n.01
146	30	information.n.02
147	30	curve.n.01
148	30	protective_covering.n.01
149	30	written_communication.n.01
150	30	bad_person.n.01
151	30	payment.n.01
152	30	social_control.n.01
153	30	deity.n.01
154	29	region.n.03
155	29	time.n.05
156	29	process.n.06
157	29	natural_process.n.01
158	29	representation.n.01
159	29	topographic_point.n.01
160	29	mechanical_device.n.01
161	29	employee.n.01
162	29	plant_organ.n.01
163	29	approval.n.04
164	29	visual_communication.n.01
165	29	edible_fruit.n.01
166	28	thing.n.12
167	28	machine.n.01
168	28	movement.n.03
169	28	vessel.n.02
170	28	time_unit.n.01
171	28	solid.n.01
172	28	space.n.02
173	28	waste.n.01
174	28	wheeled_vehicle.n.01
175	28	meal.n.01
176	28	mechanism.n.05
177	28	decoration.n.01
178	28	wrongdoer.n.01
179	28	condiment.n.01
180	28	medicine.n.02
181	27	vertebrate.n.01
182	27	being.n.01
183	27	fabric.n.01
184	27	symbol.n.01
185	27	desire.n.01
186	27	termination.n.05
187	26	body_of_water.n.01
188	26	organic_process.n.01
189	26	excavation.n.03
190	26	vehicle.n.01
191	26	nutriment.n.01
192	26	consumer.n.01
193	26	expressive_style.n.01
194	26	document.n.01
195	26	fruit.n.01
196	26	speech.n.02
197	26	furniture.n.01
198	26	cloth_covering.n.01
199	26	accomplishment.n.01
200	26	building_material.n.01
201	25	male.n.02
202	25	professional.n.01
203	25	piece_of_cloth.n.01
204	25	investigation.n.02
205	25	unwelcome_person.n.01
206	25	tool.n.01
207	25	performer.n.01
208	25	containerful.n.01
209	24	fear.n.01
210	24	travel.n.01
211	24	communication.n.01
212	24	thinking.n.01
213	24	possession.n.02
214	24	transferred_property.n.01
215	24	physical_property.n.01
216	24	point.n.06
217	24	change_of_location.n.01
218	24	meat.n.01
219	24	vegetable.n.01
220	24	geographical_area.n.01
221	24	bread.n.01
222	24	season.n.02
223	24	magnitude.n.01
224	24	hour.n.02
225	24	crime.n.01
226	24	imagination.n.01
227	24	secretion.n.02
228	24	military_action.n.01
229	24	attire.n.01
230	24	drug.n.01
231	24	round_shape.n.01
232	24	workplace.n.01
233	24	list.n.01
234	23	part.n.01
235	23	fundamental_quantity.n.01
236	23	music.n.01
237	23	plant_material.n.01
238	23	administrative_district.n.01
239	23	evidence.n.02
240	23	number.n.02
241	23	line.n.11
242	23	intellectual.n.01
243	23	contest.n.01
244	23	liquid_body_substance.n.01
245	23	case.n.05
246	23	block.n.01
247	23	solid.n.03
248	23	musical_instrument.n.01
249	22	substance.n.07
250	22	crustacean.n.01
251	22	operation.n.05
252	22	force.n.04
253	22	self-propelled_vehicle.n.01
254	22	car.n.01
255	22	creation.n.02
256	22	paper.n.01
257	22	share.n.01
258	22	ill_health.n.01
259	22	difficulty.n.03
