#FILE:SpongeBob.txt
#Vertices 359
#Arcs 359
#MaxPath 15
#LeafN 101
Rank	Count	Synset
0	11	person.n.01
1	6	activity.n.01
2	5	abstraction.n.06
3	5	cognition.n.01
4	5	message.n.02
5	5	measure.n.02
6	5	artifact.n.01
7	5	instrumentality.n.03
8	4	physical_entity.n.01
9	4	state.n.02
10	4	communication.n.02
11	4	event.n.01
12	4	act.n.02
13	4	writing.n.02
14	3	organism.n.01
15	3	content.n.05
16	3	matter.n.03
17	3	attribute.n.02
18	3	unit_of_measurement.n.01
19	2	entity.n.01
20	2	object.n.01
21	2	whole.n.02
22	2	psychological_feature.n.01
23	2	belief.n.01
24	2	location.n.01
25	2	region.n.03
26	2	administrative_district.n.01
27	2	geographic_point.n.01
28	2	part.n.01
29	2	title.n.06
30	2	substance.n.01
31	2	metallic_element.n.01
32	2	adult.n.01
33	2	sound.n.04
34	2	animal.n.01
35	2	invertebrate.n.01
36	2	time_period.n.01
37	2	implement.n.01
38	2	food.n.02
39	2	foodstuff.n.02
40	2	creation.n.02
41	2	structure.n.01
42	2	process.n.02
43	2	higher_cognitive_process.n.01
44	2	quality.n.01
45	2	action.n.01
46	2	speech_act.n.01
47	2	diversion.n.01
48	2	covering.n.02
49	1	causal_agent.n.01
50	1	religious_person.n.01
51	1	christian.n.01
52	1	apostle.n.02
53	1	living_thing.n.01
54	1	preserver.n.03
55	1	defender.n.01
56	1	patron_saint.n.01
57	1	spiritual_being.n.01
58	1	deity.n.01
59	1	saint.n.01
60	1	district.n.01
61	1	municipality.n.01
62	1	city.n.01
63	1	geographical_area.n.01
64	1	urban_area.n.01
65	1	point.n.02
66	1	port.n.01
67	1	port_of_entry.n.01
68	1	relation.n.01
69	1	language_unit.n.01
70	1	name.n.01
71	1	appellation.n.01
72	1	chemical_element.n.01
73	1	man.n.01
74	1	male.n.02
75	1	process.n.06
76	1	phenomenon.n.01
77	1	natural_phenomenon.n.01
78	1	physical_phenomenon.n.01
79	1	atmospheric_phenomenon.n.01
80	1	weather.n.01
81	1	wind.n.01
82	1	gust.n.01
83	1	readiness.n.01
84	1	acknowledgment.n.03
85	1	greeting.n.01
86	1	wit.n.01
87	1	joke.n.01
88	1	happening.n.01
89	1	opinion.n.02
90	1	attempt.n.01
91	1	friend.n.01
92	1	approval.n.04
93	1	sanction.n.01
94	1	state.n.01
95	1	american_state.n.01
96	1	coelenterate.n.01
97	1	hydrozoan.n.01
98	1	siphonophore.n.01
99	1	information.n.02
100	1	stimulation.n.02
101	1	negative_stimulus.n.01
102	1	definite_quantity.n.01
103	1	force_unit.n.01
104	1	fundamental_quantity.n.01
105	1	utensil.n.01
106	1	kitchen_utensil.n.01
107	1	cooking_utensil.n.01
108	1	turner.n.08
109	1	expressive_style.n.01
110	1	grandiosity.n.01
111	1	temperature_unit.n.01
112	1	degree.n.06
113	1	chordate.n.01
114	1	vertebrate.n.01
115	1	aquatic_vertebrate.n.01
116	1	fish.n.01
117	1	bony_fish.n.01
118	1	teleost_fish.n.01
119	1	ganoid.n.01
120	1	save.v.03
121	1	rescue.v.01
122	1	achiever.n.01
