Radio DJ:	 You've got it tuned to K-O-L-D, K-Old, your all-oldies station. Here's a little something you may remember from the good old days.
Pearl Krabs:	 Good morning, Daddy!  I made you breakfast.
Mr. Krabs:	 Thank you, sweet pea. I see you got creative with the bran today. 
Pearl:	 Open up, it's time for the pill! 
Mr. Krabs:	 Oh, barnacles! I hate the pill.  Pearl, do you think I'm... old?
Pearl:	 Well, of course I do! But that's okay. Daddies are supposed to be old.
Mr. Krabs:	 But I'm still cool, right? Your old man is cool?
Pearl:	 See, no one says cool anymore. That's such an old-person thing. Now we say "coral," as in, "That nose job is so coral."
Mr. Krabs:	 Coral, eh?
Pearl:	 Eww, when you say it, it sounds so uncoral.
Mr. Krabs:	 Well, what if I said it with a different inflection? Co-.
Pearl:	 Don't you have to go to work or something, Dad?
Mr. Krabs:	 Whoop, you're right!  Have a coral day, honey!
Pearl:	  Jenny? It's Pearl. "Coral" is definitely out. 
Mr. Krabs:	 Ha! Old? What was I thinkin'? I ain't old. Huh? 
Boy Scout:	 Don't worry, Pops, we're almost across the street.
Mr. Krabs:	 Hey, get away from me. I don't need no snot-nosed little...  Sorry you had to see that. 
Harold:	 Come on, move it! Could you be any slower? And you've had your blinker on for the last five blocks. 
Tyler:	 Hey, mister, could you throw the ball back over here?
Mr. Krabs:	  Hey, how's about I join you kids?
Tyler:	 Uhh, that's okay. You can keep it. Why do old people always have to ruin the fun? 
Elderly Fish #1:	 Hey, no cuttin'! You gotta wait your turn in line like everybody else! 
Mr. Krabs:	 No! No! I ain't old like you! I ain't old! I ain't old! 
Elderly Fish #2:	 What's his problem? 
Lou:	 Next? 
Timmy:	 Mommy, my Krabby Patty tastes funny.
Mother:	 Well, no wonder. It's all old and dried out. Like that man right there.  Now put that thing where it belongs... in the garbage.
Timmy:	 ♪La-la-la-la-la-la-la-la, la-la-la-la-la-la-la-la! La-la-la-la...♪ 
Mr. Krabs:	 Well, little patty, we're two of a kind. We've both lost our luster.  Hmmm, so that's what I taste like.
Patrick:	 Good morning, Krusty Krew! 
SpongeBob:	  Hey Patrick! You all ready for the big night out tonight?
Patrick:	  Yeah, it's gonna rock!
SpongeBob:	 Are you ready to go crazy?
Patrick:	 I'm already hearing voices!
SpongeBob:	 Are you ready to—
Squidward:	 SpongeBob! Patrick! Do you mind?!
SpongeBob:	 Let's continue this conversation in private, Patrick. I think some people are eavesdropping!
Patrick:	 Well, how rude of some people!
Mr. Krabs:	 Hmmm, those youngsters are going out for a big night on the town. 
SpongeBob:	 Whoo! I've been looking forward to this night all week!
Patrick:	 Party!
SpongeBob:	 What do you think we should do first?
Patrick:	 What shouldn't we do first? We're young,  we've got wheels,  the world is our oyster! SpongeBob, you got something on your shoulder. 
Mr. Krabs:	 Hey, boys, hangin' out?
Patrick:	  Yes.
Mr. Krabs:	 I couldn't help overhearing your big plans. And I was wondering if you had room for one more craaaaazy dude tonight, huh?
SpongeBob:	 Of course. Did you wanna come with us, Mr. Krabs?
Mr. Krabs:	 Oh, hadn't even crossed me mind. But, sure, I'll go!
Patrick:	 I don't know, SpongeBob. He might cramp our style.
SpongeBob and Patrick:	  Style!
Patrick:	 Let's see if he knows the secret cool-guy handshake. 
