Narrator:	 Ah, the Krusty Krab. Home of the delicious Krabby Patty and its super-secret recipe. 
Mr. Krabs:	 Attention, Krusty Krab crew! All hands report immediately!
SpongeBob:	  Fry cook SpongeBob reporting, sir!
Squidward:	  What's all the yelling about?
Mr. Krabs:	 Today is the 25th anniversary of the first time me arch-enemy Plankton ever tried to steal me secret Krabby Patty formula. 
Plankton:	 Can I have the secret formula?
Mr. Krabs:	 No.
Plankton:	 Okay. 
Mr. Krabs:	  But he was persistent!
Plankton:	  Pretty please?
Mr. Krabs:	 Uh-uh. 
Mr. Krabs:	 He used disguises!  Super science!  Civil disobedience!  And I always came out on top!
Squidward:	  Fascinating.
Mr. Krabs:	 But thousands of failures have made him crafty, so keep your eyes open!  You'll never know what trick he'll use to steal me secret Krabby Patty formula.
Robot:	  What a quaint restaurant. I think I will sample their wares.
SpongeBob:	 Ooh, how weird! A machine made to look like a customer.
Mr. Krabs:	 SpongeBob. Why don't you go hose out the men's room?
SpongeBob:	 With pleasure, sir!
Mr. Krabs:	  I'll take this one.  Welcome to the Krusty Krab, sir. May I help you?
Robot:	 Yes please. I'd like an order of chili coral bits.
Mr. Krabs:	  You sure you don't want a Krabby Patty?
Robot:	 No thank you.  Will this cover it?
Mr. Krabs:	 Uh, sure.  Here you go.
Robot:	  Good day.
Mr. Krabs:	 Hm. I was sure it was one of Plankton's tricks. Well, at least his money's good. 
Plankton:	 AH-HAH!
Mr. Krabs:	 Plankton! You knew I would never distrust a dollar!
Plankton:	 That's right, Krabs. Now hand over the secret Krabby Patty formula!
Mr. Krabs:	 Or what?
Plankton:	 ...I don't know. I never thought I'd get this far.
Mr. Krabs:	 Well then, allow me to suggest your next move. 
Plankton:	 Curse you,  Kra-a-aillllllllllllllllllaaaaaaaaaaaaaaaaaaaaaaaaaaaaa! 
Mr. Krabs:	  And now for the chaser! 
Plankton:	 You just wait, Krabs! Next time I'll... ah, who am I kidding? At least I can go home to a wife who understands. 
Karen:	 So? Tell me what happened.
Plankton:	 I don't want to talk about it.
Karen:	 Talking will make you feel better.
Plankton:	 Leave me alone.
Karen:	 That's your problem. You never let anyone in. Plankton the rock, Plankton the loner...
Plankton:	 And she's off, ladies and gentlemen.
Karen:	 ...and that's why everything you try ends up like this...  and like this...  and more recently, like this. 
Plankton:	  I'm a failure!
Karen:	 It's not that bad! You just require a little help. Maybe some henchmen...
Plankton:	 Henchmen?
