Radio:	 Good morning, Bikini Bottom! It's a very special day today because we have got the new single from Boys Who Cry: 'It's All About You'.
Boys Who Cry:	  It's all about you girl, On your sixteenth birthday! Pay attention to you girl, Everyone has to do just what you say. You get your very own spotlight tonight, Cuz it's all about you! Yeah, it's all about Pearl! You're the birthday girl!
Pearl:	  Yeah! It's all about me On my 16th birthday I want music, clothes, and shiny things So give it up right away Everybody in the whole wide world They have to pay attention to me It's all about me, me...and guess who? Me!  Oops!
Mr. Krabs:	  Neptune's trousers!
Pearl:	 Morning, daddy!
Mr. Krabs:	 Are you sure you wouldn't prefer a room on the ground floor?
Pearl:	 Oh, daddy. I'm just excited because tomorrow's a very special day.
Mr. Krabs:	  It is?  Oh, I mean it is! Very special. Very very special, indeed.
Pearl:	 You have no idea what day tomorrow is, do you?
Mr. Krabs:	 None at all.
Pearl:	 IT'S MY 16TH BIRTHDAY! 
Mr. Krabs:	 I knew that. How could you think I wouldn't know that? What are you gonna be, 12?
Pearl:	 I'm going to be 16! It's only the most important birthday in my entire life. If I don't have a completely awesome party, my whole high school reputation will collapse. I'll have to drop out, I won't go off to college, I'll never leave home. You'll have to support me for the rest of my life.
Mr. Krabs:	  Well, we don't want that to happen.
Pearl:	 Then promise me you'll give me a real party this year. And don't be cheap!  Hi, girls.
Friend #1:	 Hi, Pearl.
Pearl:	 Are you guys coming to my totally coral birthday party tomorrow?
Friend #1:	 I don't know, Pearl. Is this going to be as totally coral as last year, when your dad passed out paper clips as party favors? 
Judy:	 Remember the time we all had to share one balloon?  Please.
Friend #2:	 Remember the pony ride? 
Friend #1:	 I can't wait to see how he ruins this year. 
Pearl:	 Daddy!
Mr. Krabs:	 Everybody brace for impact!
Pearl:	 Tell me you've got something totally coral planned for my birthday party.
Mr. Krabs:	 Now, now, don't snap your mizzenmast. Everything is all set. Why, I've already got the party favors--bubble wrap!  This year's gonna be a blast.
Pearl:	 Daddy, you ruined all my birthday parties. But you better not ruin this one. Now promise me you won't be cheap.
Mr. Krabs:	  I promise.
Pearl:	 Good, because I made a list.  Now I want everything on this list at my party.  Bye. I'll be at the mall with my friends.
Mr. Krabs:	 SpongeBob?!
SpongeBob:	 Yes, Mr. Krabs?
Mr. Krabs:	 While I plan the party, I want you to buy Pearl's present.  Here you go, boy.
SpongeBob:	 What's this, Mr. Krabs?
Mr. Krabs:	 It's me credit card. You use it instead of money.
SpongeBob:	 I can buy stuff with just this piece of plastic? I don't need money?
Mr. Krabs:	 Exactly.
SpongeBob:	 Wow.
Mr. Krabs:	 Now remember, nothing's too good for me little Pearl. I wanted to give her nothing, but she's too good for that. Now follow her around and see what she likes. You know, do some detective work.
SpongeBob:	 Detective work--I'm going undercover.
Pearl:	 So, that's when Marcy told me that Julie said that Angela did like Brad.
Friend #1:	 Oh.
SpongeBob:	  Angela likes Brad.
Pearl:	  Oh my gosh, this is the greatest thing I have seen in the whole world.
SpongeBob:	  I'd like to buy that piece of plastic with this piece of plastic. 
Cashier:	  Mr Krabs, huh? Quick--how do you spell "Krabs"?
SpongeBob:	 Umm...I'm pretty sure it has a 'B' in it.
Cashier:	 Close enough.  There you go, kid.
SpongeBob:	 That's it? Hmmm, I'll never understand the workings of high finance.
Pearl:	  Wow, this is the greatest thing I've ever seen in the whole world. Glitter gloss!
SpongeBob:	 Oh, no, I bought the wrong present.
Judy:	 Pearl, you have got to see this.
Pearl:	 Coming, Judy.
Mary:	 Oh...hmmm... 
SpongeBob:	 Now this is obviously the greatest present ever.
Pearl:	  This is the greatest thing in the whole world! 
Squidward:	 The banner's up, Mr. Krabs.
Mr. Krabs:	 I've had that since the day she was born. I got it on sale.
Squidward:	 I'm sure she'll love it, Mr. Krabs.
