French Narrator:	 We take you now to Encino, California, where we find the President of the SpongeBob SquarePants fan club flipping burgers?
Patchy:	 Hey,kids! Potty and I took jobs as fry cooks so we could be just like our hero SpongeBob SquarePants!
Potty:	 I took the job for the free sodas.
Patchy:	 Potty, don't you have some dishes to wash?
Mr. Pirateson:	 Arrrrrrrrrgh!
Patchy:	 Hey, kids! Say hello to my boss, Mr. Pirateson.
Mr. Pirateson:	 Arrrrrrrrrgh! 
Patchy:	  One order of scurvy fries, one large bilge water.
Mr. Pirateson:	 Arrrrrrrrrgh! Arrrrrrrrrrgh!
Patchy:	 Oh, I'm sorry. Diet bilge water. Better get on it sir.  Owwwwwww!
Potty:	 P.U.! What are you cooking?
Patchy:	 Oh, Potty, you're just in time to see me new pirate patties. I call this one "Buried Treasure". 
Potty:	 Where'd you dig that one up?
Patchy:	 I call this one "Walk the Plank". 
Potty:	 I'm already "board" with that one.
Patchy:	 This'll blow out your old bird brain of yours. Behold! The Patchy Patty! 
Patchy Patty:	 Ahoy!
Potty:	 Aw, that's the worst one yet.
Patchy:	 Potty the Parrot, you are never supported of me! I don't wanna be your friend anymore! I never wanna see you again!
Potty:	 Brawk, Patchy, no!  Boo-hoo-hoo-hoo! Brawk! Brawk!
Patchy:	 You know kids this isn't the first time a perfect patty's come between two good friends.
Patchy:	 It happened once in Bikini Bottom.
Patchy:	 Here, take a look while I pull myself together. 
Mr. Krabs:	 Hmmm, something ain't right.  For me?
Squidward:	 Don't you find this a tad suspicious?
Mr. Krabs:	 Suspicion doesn't hold a candle to birthday wishing. 
Plankton:	 Surprise! 
Mr. Krabs:	 Me secret formula!
Plankton:	 Happy Birthday Krabs!
SpongeBob:	 Don't forget your condiments, Plankton. 
Mr. Krabs:	 Attaboy, SpongeBob! 
SpongeBob:	 Safe.
Plankton:	 You'll rue the day we were born, Krabs. I'll be back.  Oh, barnacles. 
SpongeBob:	 Why, Mr Krabs? Why does he hate us so? 
Mr. Krabs:	 You might as well blame me, SpongeBob.  There was a time when Plankton and I were best friends. 
SpongeBob:	 Best friends?
Mr. Krabs:	 Friends at birth, you might say. Even as wee ones. 
Plankton:	 Goo! 
Everyone:	 Aw!
Mr. Krabs:	 Things were all peaches and creams.  Until we hit grade school.
Kid Mr. Krabs:	 Hey, Planky, whatcha doing?
Kid Plankton:	 Oh, just a little something I thought I'd try out.  Idiots! I'll show you with science! This concoction is going to blow everyone away. 
Classmate:	 How's this for a science experiment, Mr. Brainatron 5000? 
Kid Plankton:	 They'll pay for this one day Eugene!
Mr. Krabs:	 Darn tootin'. Hey, barnacle brains, I think you owe Plankton an apology.
Classmate:	 You're right, Plankton, I'm sorry. Sorry you have to hang out with rag boy. 
Classmate #2:	 Yeah. Where'd you do your clothes shopping? The trash can?
Mr. Krabs:	 'Twas true. I did get me clothes from the trash.  You see, when I was growing up, times were tough. Me mother had to  fashion me clothes from rags.
Mama Krabs:	 There you go, son. Your outfit's all finished. It's a good thing Old Man Jenkins was kind enough to spare his last washcloth.
Old Man Jenkins:	 Oops.  I missed a spot.
Mr. Krabs:	 Then one day, as Plankton and I were plotting our revenge, I met the love of me life.
Kid Mr. Krabs:	 What in Neptune's name is that?  It's the most beautiful thing me eyes have ever seen! What is it?!
Kid Plankton:	 It's money.
Mr. Krabs:	 Money?
Plankton:	 Yeah. You can buy things with it.
Mr. Krabs:	 Buy things? So, I spent it on a gift for me best pal Plankton. 
All:	 Wow!
SpongeBob:	 Got your secret recipe, Mr. Krabs. You have no idea that went through to get here.
Mr. Krabs:	 I've got a pretty good idea, yeah. 
SWAT Fish #4:	 So, if you guys were such great friends, what happened?
SpongeBob:	 Yeah, Mr. Krabs. What did happen next?
Squidward:	 Yeah. I really wanna know.
Mr. Krabs:	 Listen up, Squidward! Because this is where it gets juicy. It all started in a place called "Stinky Burgers". It was the only place to get a burger. Kids loved Stinky's.  And Stinky loved the kids.
Stinky:	 Now, what can I do for you young 'uns?
Classmate:	 Uh, Mr. Stinky? I'll have one Stinky Burger, please!
Fish #2:	 Me, too, Stinky!
Stinky:	 Oh, now, now, kids. There's plenty of burgers for everyone. 
Fish #3:	 That's why we like you so much, Stinky. You always deliver the goods.
Fish #4:	 We don't like Stinky, we respect him.
Stinky:	 Well, which one is it, kids? Do you like me or respect me?
Fish #3:	 Like!
Fish #4:	 Respect!
Fish #3:	 Like!
Fish #4:	 Respect!
Stinky:	 Ok, let's just meet in the middle and say you li-spect me. 
Mr. Krabs:	 Excuse us!
Plankton:	 Valuable customers coming through.
Fish #3:	 What are those dorks doing here?
Mr. Krabs:	 Two Stinky Burgers, please.
Stinky:	  Did your brains dribble out all over the sidewalk you slept on last night? If it's burgers you want, go around back.
All:	 Yeah, Stinky!
Classmate:	 Thanks for keeping the nerds out.
Classmate #2:	 You're the best, Stinky.
Stinky:	 Ok, that's enough, kids. Gather around, children. There's something I want to tell you. What I have to say is very important. If you remember one thing for the rest of your life, remember that without your kind patronage, I'd be a penniless loser like Rag Boy.  Do you two have kelp for brains? Don't you understand? If you two yahoos come around, you'll drive away all the normal customers. I've worked too long and too hard to make this a li-spectable business. As it is, I can barely afford the essential things in li...  Is it quitting time already?  Now, if you'll excuse me, I'm off to enjoy some of life's essentials. 
Plankton:	 Did you hear that, Krabs? By flipper burgers for those cretins, he was able to gain their li-spect.
Mr. Krabs:	 Did you see that fat stack of loot? I bet if we made a better burger, we'd make a fatter stack of loot.  But who has the ability to make such a burger? Who has the skill?
Plankton:	 Skill, schmill, Krabs, baby. Who needs skill when science is on your side? We'll make that burger, and when we do, we will rule the school! 
Patchy:	 I miss Potty. I remember the first time we met.  If I could only hear his voice.
Potty:	 Less talking and more working.
Patchy:	  Potty! You came back to apologize!
Potty:	 I came to tell you to get back to work!
Patchy:	 Hey, you can't tell me what to do you... Huh? Assistant manager? How did you become assistant manager?
Potty:	 Oh a thing called the G.E.D., man.
Patchy:	 Oh, here we go again with the fancy booklearnin'. Customers love me cookin. Why, we're almost out of doggie bags.
Patchy:	 Oh Potty, what am I doing wrong?
Potty:	 You just need some practice, that's all.
Patchy:	 Ahh, me patty's done.
Potty:	 Smells like an unswabbed poop deck!
Patchy:	 Oh, Fine. I'll eat it!  Oh, for the crime of foaling me taste buds, I order you to walk the plank!  Ah. Oh well, I bet SpongeBob's first patty didn't go so well either.
Potty:	 Brawk, roll film.  A perfect patty on the first try.
Patchy:	 Oooooh, I'll make a Potty Patty out of you!
Potty:	 You're unsanitary, Patchy, You keep raw hamburger meat in an old boot!
Patchy:	 Well, that's what gives it its special flavor. 
