Squilliam:	 Thank you.  Thank you.  Ah.
Music Lover:	 Isn't it grand?
Squidward:	 What is?
Music Lover:	 He's such a great musician. He doesn't even have to touch an instrument to be brilliant! 
Squidward:	 Alright, I've had enough!  Bunch of nonsense!
Music School Headmaster:	 Why, here he comes now.
Music School Headmistress:	  It  him!
Squidward:	 Huh?
Music School Headmistress:	 Aren't you the esteemed Squilliam Fancyson the Third, who we all came here to see perform tonight?
Squidward:	 No, I am not, nor would I ever want to be! I am quite content being Squidward Q. Tentacles.
Music School Headmistress:	 Oh, dear. Well, that's too bad.
Squidward:	 Why?
Music School Headmistress:	 Because I'm head matron at an esteemed musical college in town and thought if you  Squilliam Fancyson, I would offer you the high-paying and prestigious opportunity to come there and teach your very own music class.
Squidward:	 My very own music class? Did you say "Squilliam Fancyson"?
Music School Headmistress:	 Yes.
Squidward:	 I'm... Squilliam Fancyson.
Music School Headmistress:	 But didn't you just say a minute ago that your name was Squidward Q. Tentacles?
Squidward:	 It is... No, I mean, uh, no, no, I didn't!
Music School Headmistress:	 Well, that's a relief. I mean, what kind of a moron would go to their worst enemy's music recital?
Music School Headmaster:	 A very pathetic one, that's whom. 
Squidward:	  Oh.
Music School Headmistress:	 Well, good evening, Professor Squilliam.
Squidward:	 Who? Ha, um, uh, and a good evening to you as well. 
Music School Headmaster:	 Hmm, music types.
Music School Headmistress:	 Ooh, they're so strange.
Squidward:	  Good evening, students. Now, our first...
Students:	 Good evening, Professor.
Squidward:	 As I was saying, our first...
Squidward:	 Yes?
Billy:	 Aren't you gonna write your name on the board like most professors do?
Squidward:	 My-my name? What for?
Billy:	 Well, you know, it just seems like teachers usually write their names on the board the first day of class.
Squidward:	  Why don't  come write  name on the board? We'll see how  like it.
Billy:	 Okay.
Squidward:	 There, now how does  feel, Billy?
Billy:	 Okay, I-I guess.
Squidward:	 Good. Now, why don't you take your seat and stop poking your nose into other people's business?!  Now, if we can go for five minutes without having any further interruptions. I would like to...
SpongeBob:	  Hey, look! It's Squid... 
Squidward:	 Squilliam, everybody, he was about to say "Squilliam"!
