Mr. Krabs	: It's comin' up on that time again. Okay, boy, fire her up.
SpongeBob:	 With pleasure, Mr. Krabs. (puts on rubber gloves and gets the key from underneath his shoe. Puts the key into the stove ignition and turns it on to work like a car. Pushes on the pedal) I love this part of the job.
Mr. Krabs:	 Don't forget the cheese.
SpongeBob:	 And this part ain't bad either! (gets out a cheese slice, inserts it into his body, and squirts it out of his holes in square slices)
Mr. Krabs:	 Looks good, kiddo. You want to do the honors?
SpongeBob:	 (gasps) You don't mean...
Mr. Krabs:	 Oh, I mean.
SpongeBob:	 (gets on his knees and bows to Mr. Krabs) Thank you, Mr. Krabs. Thank you. It is both an honor and a privilege that I shall---
Mr. Krabs:	 What are you going on about? I let you turn the sign every day. (cut to SpongeBob walking up to the closed sign and puts a briefcase down. Opens it up to put on his 'ceremonial gloves' to turn the sign)
SpongeBob:	 As I don the ceremonial white gloves, I can continue the eternal cycle and now deem the Krusty Krab...open. (turns the sign from 'closed' to 'open') Patrons, spring forth. (SpongeBob holds the front door open) The Krusty Krab will now seat you. (no one is there)
Mr. Krabs:	 (storms to SpongeBob) All right, you landlubbers, get the lead-- (gasps) Neptune's jewels! Where are all me costumers? And just when the Krabby Patty was about to go triple platinum. Squidward. Squidward? Squidward!
SpongeBob:	 (looks behind the counter) No need to shout Mr. Krabs, he's right here, secretly watching his favorite soap, 'As The Tide Turns'.
Squidward:	 Shut it SpongeBob. Gil is about to reveal his secret.
Gil:	 You understand? Them Guppies—Them's my children.
Squidward:	 I knew it!
Mr. Krabs:	 In case you two haven't noticed, we got no customers! And we're not gonna get 'em back if you two lazy susans sit around the TV all day.
Sea Chicken:	 (on TV) Cock-a-doodle-yum! (squawks) Rise and shine! We're the best restaurant in the sea!
Mr. Krabs:	 (jumps on Squidward, squishing him) Who dares lay claim to the title best restaurant in the sea?
Sea Chicken:	 (on TV) The Sea Chicken Shack!
Announcer:	 (on TV) Say, Mr. Sea Chicken, how's the flavor of that zesty sea chicken sandwich?
Sea Chicken:	 (on TV) It's im-peck-able! (squawks) So come on down to my Sea Chicken Shack, and don't forget the kids. (four kids come up to him and hang on him)
Mr. Krabs:	 Blimey, this is the first I've heard of this Mr. Sea Chicken. There goes me monopoly. But how did he lure away me loyal customers away so fast? SpongeBob, I need you to head over to the Sea Chicken Shack and see what's cookin'.
SpongeBob:	 You want me to go undercover?
Mr. Krabs:	 Uh, that won't be necessary, boy. Just look around, see how he's roping in all these customers.
SpongeBob:	 Understood, Mr. Krabs. (raises his arm and takes a picture with his armpit) How do you like my new armpit spy cam, huh? Huh?
