Scallop:	 
Squidward:	  20 minutes in the bath seems like enough.   Another day!  Another day.
SpongeBob:	  Ready for work!  Good morning, Squidward, I...   Not ready for work! 
Squidward:	 Whatever.
SpongeBob:	  Thanks for waiting, Squidward.
Squidward:	 I wasn't waiting.
SpongeBob:	  I was in such a hurry, I almost forgot my pants.
Squidward:	 Yes, I saw that.
SpongeBob:	 I guess I was in a panic, I mean I can't believe we're running so late for work, and you, huh, Squidward, can you believe it, are you panicking too? Late for work, late for work, we're running late for work, right?
Squidward:	 Late? We're gonna be there fifteen minutes early!
SpongeBob:	 I know, only fifteen minutes early? Maybe we should take a shortcut!  Squidward, what are you doing?! 
Squidward:	 SpongeBob, look.  We're walking in a straight line.
SpongeBob:	 I don't follow.
Squidward:	 A straight line is the shortest distance between any two points!
SpongeBob:	 Speak English, brainiac! 
Squidward:	 Well, see, you have point A , where you start, and then there's point...  point... I don't even know what I'm talking about!
SpongeBob:	  Mmm, strawberry!
SpongeBob's Clock:	 Tick!
SpongeBob:	 Oh no, now we're only going to be 14 minutes early for work!  Oh, there's got to be a shortcut around here somewhere!
Squidward:	 Oh, for the last time  straight line, point A, there's no shortcut!
SpongeBob:	 There is always a shortcut!
Squidward:	 What moron told you that?
Patrick:	  There's always a shortcut!
Squidward:	 Huh.
SpongeBob:	  Squidward, I am going to find that shortcut!
Squidward:	 Look, the Krusty Krab is right at the end of the block!
Mr. Krabs:	 Yoo-hoo!
Squidward:	 No, SpongeBob. I'm just going to struggle through the rest of this walk, alone.
SpongeBob:	 Well, I guess this is where we part ways. But I can't wait to see your face when you get to work and I'm already there!  That's the face! That's the look!    First you do a zig, then you take a little zag, that's how find you a shortcut! Crawl underneath the fence, struggle through a bush, and that's how you find a shortcut!  Huh?
Squidward:	 Straight line, point A to point B. You're still not getting it.
SpongeBob:	 Oh, tartar sauce! Maybe I should've zagged when I zigged!  First you do a zag, crawl underneath the fence, then you take a little zig, that's how you find a shortcut!  There, that's better.   Now this is what I call a real great shortcut. Now all I have to do is remember my wilderness training so I don't get lost! 
Sandy:	  First rule of wilderness training, is map out your course, by taking note of local landmarks!
SpongeBob:	 Local landmarks...  A-ha!  Right at this large and unusual shell.  Right at this abandoned sofa, and jog left at the broken fire hydrant.  There it is, the Krusty Krab! 
Squidward:	 Ahhhh.... 
Mr. Krabs:	 Well, look at this. Lazing about.  Can I get you anything else, another pillow, maybe? A cappuccino machine?
Squidward:	 No thanks, I got one!  Perfect. No customers. No SpongeBob.
Mr. Krabs:	 Oh, for kelp sake. You're a lost cause.
SpongeBob:	  The Krabby Krust?!  Is that the name of a restaurant?
Sal:	 No, it's a typo.
SpongeBob:	 Could you perhaps tell me how to get to the Krusty Krab from here?
Sal:	 Never heard of it.
SpongeBob:	 Oh, you should try it! It's the best place to eat in all of Bikini Bottom!  Here, take this coupons!
Sal:	 Thanks! I'm going to go there right now! 
SpongeBob:	 I thought you didn't know where the Krusty Krab was! Oh, what do I do now?  
Sandy:	  Remember, your landmarks!
