Narrator:	 Every day is a holiday for SpongeBob, even if he has to make one up.
SpongeBob:	  Hey everybody! It's Leif Ericcson Day! Hinga-dinga-durgin! Ahoy, Patrick! It's Leif Ericcson Day! There's a note.
Patrick:	  SpongeBob, went to get more giant paper. Uhhhh...Patrick. P.S. Happy Leif Ericcson Day! Yingin-hinga- dinga!
SpongeBob:	 Aww... so much for that. Maybe Sandy will play with me.  Another note.
Sandy:	  SpongeBob, went south for the winter. Love, Sandy.
SpongeBob:	 I don't get it. The water's fine.  Hey Squidward! Want to play?
Squidward:	  No.
SpongeBob:	 Are you sure?
Squidward:	  Yes.
SpongeBob:	 Darn. I wish I had a buddy to play with. I know! I'll make one! Stick Buddy!  Nah...  Rock Buddy! Nope...  Sink Buddy! "[Sink Buddy drips a little water]" Almost...  I've got it!  Bubble Buddy!  This...is...great!  I can't wait for you to meet Squidward and Mr. Krabs.  Don't be shy, come on! 
Squidward:	 Please come again. When I'm not working. Next.
SpongeBob:	 Hi Squidward!
Squidward:	 How am I supposed to enjoy your day off if you come to work anyway?
SpongeBob:	 I want you to meet my new friend, Bubble Buddy!
Squidward:	 This bubble is your friend?  Well, he's handsome, I'll give him that. What'll it be?
SpongeBob:	 Oh, I'm not hungry.
Squidward:	 Well, thanks for stopping by.
SpongeBob:	 Wait! You haven't taken Bubble Buddy's order yet!
Squidward:	 Why would I do that?
SpongeBob:	 He's hungry.
Squidward:	 He's an inanimate object, his money's no good here!
Mr. Krabs:	  What are you saying, Mr. Squidward? Everyone's money is good here.  At the Krusty Krab, we serves all kinds.
Squidward:	 I'm not taking an order for a bubble.
Mr. Krabs:	 Sure you are! Or I'll fill your life with misery and woe.  Even if you quit. 
Squidward:	 May I take your order?
SpongeBob:	 Wait, Bubble Buddy. Let me decide for you.  Hmmm. Krabby Patty, Double Patty Patty, Krabby Junior Junior, Jumbo Small Patty, Junior Senior Sophomore Patty, Quarter Ouncer Double Pounder...ohh, it's all so good! He'll just take one of everything. 
Mr. Krabs:	 One of everything?! Whoopee!  I love Bubble Buddy! Squidward, show our best customer to his table. 
SpongeBob:	 Bubble Buddy's thirsty.
Squidward:	 How about a glass of our finest shampoo? 
SpongeBob:	 Sounds great! 
Squidward:	 Here's your hair care product, sir.
SpongeBob:	 Uhh, Bubble Buddy likes bendy straws.  Huh, what's that? Bubble Buddy says it tastes funny. What do you think?
Squidward:	 Mr. Krabs!
Mr. Krabs:	  Think of the customer.
Squidward:	  Oh, silly me. I got the diet shampoo. Here we go, one of everything for Bubble Buddy.
SpongeBob:	 Oh no, Squidward, wait! There's cheese on these patties!
Squidward:	 And?
SpongeBob:	 Bubble Buddy's lactose-intolerant, he can't eat cheese! What should we do?
Squidward:	 We? How about you take these patties and sho...
Mr. Krabs:	 Mr. Squidward! 
SpongeBob:	 Don't worry, Bubble Buddy. Squidward will make a fresh batch.
Squidward:	 What, is he allergic to bread, too?
SpongeBob:	 Actually he doesn't like the crust. And Squidward, the ketchup should be under the patty. And Squidward, the pickles should be on the left side. And Squidward, you should... And Squidward... And Squidward... And Squidward... And Squidward...
Squidward:	 Here, one of everything! No cheese, no crust, pickles to the left, four squirts of ketchup, wheat buns, non-dairy lettuce, and farm-raised tomatoes carnival-style!  And if there's anything else I can do, please hesitate to ask.
