TV Announcer:	 And now, back to Crustacean Crime Theater.
Shellnapping Victim:	 Stop! Thief!
Cop #1:	 Which way did he go?
Shellnapping Victim:	  He went that way!
Cop #2:	 Let's get em, boys!
Thief:	  Curses! Foiled again!
Mr. Krabs:	 What a no-good eel-in-a-kelp that guy was!  There ain't nothing worse than a thief!  Thieves need to be locked up forever! They should all be strung up by their gills and forced to breathe air!
SpongeBob:	 But, Mr. Krabs,  what about all the stuff you stole?
Mr. Krabs:	 What do you mean?
SpongeBob:	  Like that barrel.  It says, "Property of Salty Sea Farms".
Mr. Krabs:	 Oh, that's where I rent me pickles from.
SpongeBob:	 Are you renting the barrel, too?
Mr. Krabs:	 Well, no.
SpongeBob:	 Then you bought it?
Mr. Krabs:	 No.
SpongeBob:	 Then, isn't that stealing?
Mr. Krabs:	 Well, I, uh...
Patrick:	  What about this towel from the Sizzling Spring Sauna?
Mr. Krabs:	 Um... Well..
SpongeBob:	  And this Bikini Bell phone?
Mr. Krabs:	 Well, uh, it's
Patrick:	  And Sandy's hedge clippers?
Mr. Krabs:	 Oh, they're...
SpongeBob:	 ...And Plankton's lawn mower?
Mr. Krabs:	 Well, he...
SpongeBob:	  Even Mrs. Puff's hair curlers?
Mr. Krabs:	  That one was a gift!  Listen, all that stuff is, uh... borrowed.
SpongeBob:	 Borrowed? Well, that's a relief. I thought you took it without  permission.
Mr. Krabs:	  Ah, permission shmermission! You can borrow anything you want, anytime, as long as if you give it back  before it's missed.  Everyone knows that! Right?
SpongeBob and Patrick:	  Okay!
Mr. Krabs:	 All right then!  Hugs?  You put in  a hard day's work, boys!
Patrick:	 But I don't work here!
Mr. Krabs:	 See you later!  Oh, that was a close one.
SpongeBob:	  What do you want to do today?
Patrick:	 I don't know. What do you want to do today?
SpongeBob:	 I don't know. What do you want to do today?
Patrick:	 I don't know. What do you want to do today?
SpongeBob:	 I don't know. What do you want to do today?
Patrick:	 I know what I want to do today!  I need some money.  Uh.  Oh.  Oh...   I don't have any money.  SpongeBob, I want a balloon really, really badly!  Really, really badly!
SpongeBob:	 It's okay, Patrick. There's lots of money in  the First National Bank of SpongeBob.  Follow me!  Uh-oh. I'm broke, too.  and Maybe we could borrow money from Squidward?
Patrick:	 No, wait!  Instead of borrowing the money, why don't we just borrow the balloon?!
SpongeBob:	 Yeah, like Mr. Krabs!
Patrick:	 It's just borrowing, right?
SpongeBob:	 Yeah, and borrowing is okay as long as we bring it back, right?
Patrick:	 Right!
Patrick:	 This is so great!
SpongeBob:	 We're going to have so much fun! First we can run with the balloon!
Patrick:	 Yeah, then we can go to the beach with the balloon!
SpongeBob:	 Yeah! then we can take a bike ride with the balloon. Then we can go to the movies and the arcade and the ice rink and the pizza shop!
Patrick:	 And the moon and the sky and under a car, behind the dumpster!
SpongeBob:	 And the candy shop!
Patrick:	 And then my backyard!
SpongeBob:	 And in a plane!
Patrick:	 And over a rock!
SpongeBob:	 And under a hill!
Patrick:	 And with a whale!
SpongeBob and Patrick:	 We love borrowing!
SpongeBob:	 It popped.
