TV Announcer:	 The New Adventures of Mermaid Man and Barnacle Boy! We join Bikini Bottom's noblest, boldest, oldest superheroes as they bravely prepare for vacation.  But wait! While our heroes relax at leisure village, who will watch the Mermalair? 
SpongeBob:	 ManSponge...
Patrick:	 ...and BoyPatrick
SpongeBob and Patrick:	 Reporting for duty.
Barnacle Boy:	 Yeah, yeah, follow me.
SpongeBob and Patrick:	 Up, up, and away!
Mermaid Man:	 Evil!
Barnacle Boy:	 Now, we want you boys to keep an eye on the place. Water the plants, and make sure that...
SpongeBob:	 Oh my gosh, Patrick. This is the greatest wall of superhero super gadgetry ever! I'm going to play with the Cosmic-Ray!
Patrick:	 I'll get the Aqua-Glove.
Mermaid Man:	 Hold on there, boys! You cannot play with this stuff.
SpongeBob:	 What about the Orb of Confusion? 
Mermaid Man:	  No, no! Prolonged exposure from the Orb of Confusion will give you... uh... confusion!
Patrick:	  What about the invisible boat mobile?
Barnacle Boy:	 Especially not the invisible boat mobile. When we say don't touch anything, we mean don't touch anything. Do you understand?
SpongeBob and Patrick:	 Loud and clear trusted boy companion!
Barnacle Boy:	 Well, great. Here are the keys.  We'll see you in a week.
Mermaid Man:	  Up, up, and away.
SpongeBob:	 Come boy Patrick. While our heroes are away, we will keep evil at bay. 
Patrick:	 Huh? MUH-MUH-MUH-MA-MUH-MUH-MA-MUH-MA...
SpongeBob:	 What is it trusted sidekick?
Patrick:	 MUH-MUH-MUH-MA-MUH-MUH-MA-MUH-MA! MUH-MUH-MUH-MA-MUH-MUH-MA-MUH-MA!
SpongeBob and Patrick:	 MUH-MUH-MUH-MA-MUH-MUH-MA-MUH-MA! MUH-MUH-MUH-MA-MUH-MUH-MA-MUH-MA! Man Ray! Ahh! 
Patrick:	 Hey, SpongeBob, how come he's not chasing us?
SpongeBob:	 Looks like he's frozen or something.
Patrick:	 FRUH-FRUH-FRUH-FRO-FRUH-FRUH-FRO-FRUH-FRO!
SpongeBob:	 It appears to be some sort of prison chamber...  ...made out of frozen tarter sauce. This is incredible. Next to the Dirty Bubble, the evil ManRay is the all-time greatest arch nemesis of Mermaid Man and Barnacle Boy. I have so many questions to ask him.  Pat, what are you doing? We're not supposed to touch anything!
Patrick:	 But you said you had a question.
SpongeBob:	 We could get in trouble.
Patrick:	 Well, that's not a question. 
SpongeBob:	 He said not to touch anything and that includes unfreezing a super-villain! 
Man Ray:	 I'm free! Hahaha!
SpongeBob:	 Uh, actually, Mr Man Ray, sir, only your head is free.
Man Ray:	 By the supreme authority of wickedness, I, the evil Man Ray, command you to release me from this frozen prison at once.
SpongeBob:	 Well, uhh, Mr. evil ManRay sir, we can't do that.
Man Ray:	 Why.. Not?!
SpongeBob:	 Because you're evil!
Man Ray:	 You mean, if I was good then you'd let me go?
SpongeBob:	 Yeah, sure, why not?
Man Ray:	 Then, uh, in that case... I am good.
SpongeBob:	 Really?
Man Ray:	 Yes, really.
SpongeBob:	 Really, really?
Man Ray:	 Yes, yes, really, really.
SpongeBob:	 Really, really, really?
Man Ray:	 Yes, yes, already! I'm good! I'm good! Now let me out of here or you'll suffer dire consequences.
SpongeBob:	 Well, that's good enough for me. 
Man Ray:	 You fools, prepare to be eradicated.  What's wrong with me? Hahaha. What is this... Hahaha. infernal contraption?!
SpongeBob:	 Don't play dumb, Man Ray! You know that's the tickle belt Mermaid Man used on you in episode #17.
Narrator:	  As seen in episode 17!
Patrick:	 Oh, I love that episode.
SpongeBob:	 Oh, me too, me too.
Man Ray:	 I'll never get out of here wearing this belt. [chuckles] I... I need an evil plan that will trick them to take it off me.  Time for those acting lessons to pay off.
SpongeBob:	 Remember that part Mermaid Man and Barnacle...
Man Ray:	 Oh, sob! Oh, cry.  Oh, woe is me. You don't know what it's like being evil for so long. Oh, how I wish to be... good. If only some kind heroes would show me the path to decency. 
SpongeBob:	 We could teach you how to be good and then we'll let you go.
Man Ray:	  Ahh, that would be fantastic!  I'll fake my way through this just like I did in high school.
SpongeBob:	 Okay, Man Ray. Are you ready first day at goodness school?  Pat, get your wallet out.  Okay, goodness lesson number one. You see someone drop their wallet. Patrick, drop the wallet.  Now, what do you do?
Man Ray:	 Excuse me, sir, but I do believe you've dropped your wallet.
Patrick:	 Doesn't look familiar to me.
Man Ray:	 What? I just saw you drop it. Here.
Patrick:	 Nope, it's not mine.
Man Ray:	 It is yours. I am trying to be a good person and return it to you.
Patrick:	 Return what to who?
Man Ray:	  Aren't you Patrick Star?
Patrick:	 Yup.
Man Ray:	 And this is your ID.
