Tina-Fran:	 Squidward, we love you!
Audience Member #2:	 I love you, Squidward. You're my favorite! 
Squidward:	 Alright, alright. Time for another hideous day at work. Ahh, just hang in there, gorgeous.  Your star will shine at the clarinet recital tomorrow. 
SpongeBob:	 Time for another glorious day at work.  Good morning, Squidward!  And isn't it a lovely morning? Why are you playing the clarinet on your way to work?
Squidward:	 I'm practicing for my clarinet recital. Soon, all of Bikini Bottom will recognize the talent that is Squidward Tentacles. Goodbye, SpongeBoob.
SpongeBob:	 See ya at the Krusty Krab, Squidward. Hey, Sandy, what's this?
Sandy:	 Well, this here is my new matter transporter. It can move things from one place to another in the blink of an eye.
SpongeBob:	 Ooh, that sounds fancy.
Sandy:	 Let me show you how it works. 
SpongeBob:	 Whoa!  Where'd it go?
Sandy:	 Just where you think it would be. 
Mrs. Puff:	 Oh!
SpongeBob:	 Uh-oh, I'm late for work. Do you think your machine can zap me over to the Krusty Krab?
Sandy:	 I always did want to try a critter. Sure, why not? Get in there, SpongeBob.
SpongeBob:	 Whoo-hoo! 
Sandy:	 Hold on tight.
SpongeBob:	  Gee, Sandy, this sure feels...
Squidward:	  Well, here we go again. 
SpongeBob:	 Hey, Squidward! 
Sandy:	 What's going on with this thing?  What in tarnation? 
SpongeBob:	 Hi, Sandy.
Squidward:	 I'm not sure what it is but I something seems different about me.
SpongeBob:	 Yeah, me too.
Squidward:	 Hey, what are you doing with my hand? What am I doing with your hand? Ahh! What is this? We're all mixed up together.  This is horrible. I have my clarinet recital tomorrow.
SpongeBob:	 Oh, it's not so bad, Squidward. Now we can be best buddies and do everything together, forever.
Squidward:	  Sandy, was this your doing? You've got to get us separated.
Sandy:	 Well, I wish I knew how.
Squidward:	 Well, you have to do something. I can't stay stuck to him.
Sandy:	 Hmmm, I wonder what would happen if I tried zapping you back in the transporter.
Squidward:	 Uhh, yeah, yeah, yeah, good idea. Let's try it.
Sandy:	 Well, here goes nothing. 
Mable:	 All right, children. Today's Timmy's birthday. You know what that means. Ready Timmy? 
Doctor:	 Congratulations, Mrs. Smith. You gave birth to a healthy baby boy.
Mrs. Smith:	 May I see my baby?
Doctor:	 Of course. 
One-Eyed Monster:	 I've been in love with you ever since I first laid my eye on you.  Hey baby, what's your name? 
Squidward:	 It's no use, Sandy. We're still the same.
Sandy:	 Well, that's a darn shame. You know what, I was working on the blueprints for a new invention. But it's still in the embryonic stage.
