Ricky Gervais:	  Ten years ago, an unknown   pirate from Encino began a  decade long obsession  with TV's most beloved  an absorbent sponge. And today,  a mere ten years later, obviously,  ten years ago, I said that,  he has traveled all the way to a far off land known as, "Burbank."  To find Nicktoons Animation Studio  and meet his idol  face to face for the first time  in  ten years...it's ten years ago.  It's ten years ago.  Let's see what happens, yeah.
Patchy the Pirate:	 Oh. Bye Mom. Thanks for the lift.  Hey, kids. Isn't this exiting? I'm here at Nickelodeon, home of SpongeBob SquarePants. And I'm gonna ask him if he'll be my guest of honor on my tenth anniversary TV special.  Come on.  Ahoy.
Security Guard:	  Sir, may I help you?
Patchy:	 Yes. This is Patchy the Pirate for SpongeBob SquarePants. I believe he's expecting me. I sent him over 400 letters...this week.
Security Guard:	 Uh, yes. SpongeBob is not here right now, sir.
Patchy:	 That's okay. I can wait.  SpongeBob?!
Security Guard:	 Sir, please step away from the gate.
Patchy:	 Aw, poop deck. I was hoping I could ask SpongeBob to phone up some of his famous friends so he could ask them to be guests on my show.
Security Guard:	 Uh huh.  Oh. You're here for the Casting Department.
Patchy:	 Yeah.
Security Guard:	 In that case, please step right inside sir.
Patchy:	 Woo! Oh hey, when'll SpongeBob be here? Whe're's he? At lunch?  At an important meeting?
Security Guard:	 I'm not sure, sir.
Patchy:	 Getting his boat waxed?
Security Guard:	  This way, sir.
Patchy:	 What's he really like?
Security Guard:	  This way, sir.
Patchy:	 Does he come in everyday?
Security Guard:	  This way, sir.
Patchy:	 Does he dye his hair?
Security Guard:	  Walk this way, sir.
Patchy:	 Huh?
Security Guard:	 Here you are, sir. Please wait here while you wait.  Can I get you anything, sir?
Gary:	  Meow.  Meow.  Meow. 
SpongeBob:	 Good Morning, Gary!
Gary:	  Meow.
SpongeBob:	 A little overboard? And take a chance at being late for the single most greatest day of my career.  The eleventy-seventh anniversary of the Krusty Krab.  Oh, oh, oh, I think not.  No self-respecting Krusty Krab employee would be late on this day. 
Squidward:	  What the?
Gary:	  Meow, Meow, Meow.
SpongeBob:	 Oh, Watch the potty mouth, Gare. Today is a day for gentle reflection. Aw, I remember my first visit to The Krusty Krab.
Harold SquarePants:	 I don't know. This doesn't seem like a family restaurant.
