Nat:	 Boy, good thing I remembered my umbrella.
Mable:	 Me too.
Abigail Marge:	 Come on kids. 
Dave:	  Ahh, too bad I forgot my umbrella. 
Mr. Krabs:	 Ahhh, the end of another successful business day. You know Squidward this kind of day always reminds me of money  Ahhahhahah.... 
Squidward:	 Ohh yeah, that's nice. I'll be here working while you.....AHHHHHHHH!  Uhhhh. Uhhh...Ummmm...I'm sorry mam,  but were closed. . I know you're hungry but- . Uhhh...but we really are closed. Thank-you, come-again.
Squidward:	 Hey!! Closed means closed, Grandma!  Oh boy, Some people... 
Madame Hagfish:	  One Krabby Patty please.
Squidward:	 I told you...we're closed! I was supposed to get out of here ten minutes ago! And besides, I already cashed the register out.
Madame Hagfish:	 Ohh, but I-
Squidward:	 No.
Madame Hagfish:	 I-
Squidward:	 No.
Madame Hagfish:	 I-
Squidward:	 No way.
Madame Hagfish:	 Please I-
Squidward:	 Never...
Madame Hagfish:	 I brought exact change... 
Squidward:	  Ah-ha, that is what they cost...20 years ago. Krabby Patties cost $4.50, lady.
Madame Hagfish:	 Oh dear. Seems I'm just one short.
Mr. Krabs:	  No way granny!
Madame Hagfish:	 Oh, But it's all I have. Please...
Squidward:	 Nope.
Madame Hagfish:	 Ohhh pleasssseeee.
SpongeBob:	  How sad.
Madame Hagfish:	 Pleasse, Oh, pleaaasee...
SpongeBob:	 
Madame Hagfish:	  You haven't seen the last of me!!!! 
Mr. Krabs:	 Well, I've certainly seen enough .
Squidward:	 What a creepy old hagfish, I thought she'd never leave.
Mr. Krabs:	 Aye, good job there, SpongeBob. Say, what did you tell here that finally drove her out? I may need to know in case she ever comes back .
SpongeBob:	  Need to know in case she ever- .
SpongeBob:	  Have a good night Mr. Krabs.
Mr. Krabs:	 Oh, you too SpongeBob. Have a good-  Night...
SpongeBob:	  Old lady? Old lady?
Madame Hagfish:	 Here I am.  Right where you told me to meet you.
SpongeBob:	 Actually I told you to meet me two paces to the left.
SpongeBob:	 Oh good, you're here!  I brought the stuff.
Madame Hagfish:	 My goodness! This has to be the most kind, most generous, most thoughtful thing anyone has ever done for-
SpongeBob:	 You're welcome, just take them before someone sees us.
Mr. Krabs:	 Too late! 
SpongeBob:	 Mr. Krabs!
Mr. Krabs:	 So, it's true!
SpongeBob:	 H-How did you find out?
Mr. Krabs:	 Found out? Boy, you would have to get up pretty early to sneak a pair of buns past old, Mr. Krabs.
Squidward:	 Or before he takes off his sleep mask.
Mr. Krabs:	 How did you know I wear a sleep mask?
SpongeBob:	 Ohh please, Mr. Krabs don't fire me. Pleaaaseee! 
