Johnny Elaine:	 Bikini Bottom Action News! Tonight's top story: A wealthy entrepreneur, who wishes to remain anonymous, is sponsoring this year's sleigh race.  First prize: one million dollars! All of Bikini Bottom is entered, but only one hopefull will win. We join roving reporter Perch Perkins live at the scene.
Perch:	 Attention is building up as the contestants line up to win the prize.
SpongeBob:	 Gary and I are gonna try to win the prize so Mr. Krabs can fix up the Krusty Krab. Right, Gary?
Gary:	 Meow.
Patrick:	 I hear ya. I hope I win so I can buy all the Krabby Patties I want! It will be the run of the heavy artillery: Gooey Worms!
SpongeBob:	 Uh, Patrick, those don't move.
Patrick:	 Sure they do! Giddy up!  Yeah! See?
Plankton:	 You don't stand a chance, Krabs! Karen and I--I mean, my worm and I, are gonna whip your tail fin!  Right, worm?
Karen:	 Gruf gruf.
Plankton:	 And with the prize money, I'll topple your restaurant and empire once and for all!
Mr. Krabs:	 Ha! When fetching money is involved, nobody topples me!
Announcer:	 Attention. Ready in your sleds.
Perch:	  Excuse me, sir. How do you think you'll do in the race?
Squidward:	  Hello, people of Bikini Bottom! I'm glad I'm finally talking to my fans on  television! 
Perch:	  That's enough from ya.  Oh, excuse me, miss...
Announcer:	 On your mark...
Real Plankton:	  So long, suckers.
Announcer:	 ...set, go! 
Patrick:	 Come on, wormies! Giddy up! Hmmmm...
Narrator:	 Meanwhile, back in the lowlands...
Plankton:	 Alone at last! Now there's nothing between me and the secret formula! Hahahahaha!
Mr. Krabs:	 Come on, boys! Get me to the green mats!
Fake Plankton:	 I think not, old man! Turbo boost, Karen! 
Mr. Krabs:	  Nooo! I can't let him win!
Sandy:	 Don't worry, he won't!  I will.  Yeeha!
Patrick:	  Hey, SpongeBob.
SpongeBob:	 Hi Patrick! Where's your sleigh?
Patrick:	 I don't know. 
SpongeBob:	 Hop in!  Come on, Gary!
Plankton:	 Hehehehe!  Locked?! Ugh.[takes out cutter]Good thing I brought this along.[tries to cut safe, but the cutter slides to the ceiling with Plankton, spins 3 circles, makes two holes in ceiling, falls off, cuts off Plankton's antennae, and rolls away]I'm gonna need something with more firepower.
Sandy:	 Woo wee! Looks like I lost them!  The remote shorted out! The robots,  Whoa!  Aaaa!
Squidward:	 Those dimwits don't stand a chance against my imported worm.  Hey! What's the big idea?!
Worm:	  I beg your pardon. It's tea time, anyway. 
Squidward:	 I don't have time for this!  Tea time. Of all the ridiculous concepts![walks onto ice, and slips, the ice cracks, and Squidward falls in, losing his winter clothes, and floats back up in a block of ice, with a shocked face]
Patrick:	 Whoa! Look at that!
SpongeBob:	 Squidward! Free!  He doesn't look so "hot." We better take him with us.
Patrick:	 Good idea.
Gary:	 Mooow... 
SpongeBob:	 Patrick, do you hear that?
Sandy:	 [shivering] Th-th-th-th-th-thanks, guys.
SpongeBob:	 No problem, right, Gar?
Gary:	 Meow...  Errrgg!
Mr. Krabs:	 Sniff out the money, little guys! Come on! Marsh!  Wai-wait a minute. I was gonna feed ya! Honest! 
Mr. Krabs:	  Heeelp!
SpongeBob:	 Hi, Mr. Krabs.
