Narrator:	  Ah, Goo Lagoon. A relaxing retreat for the citizens of Bikini Bottom.  A place for fun and frolic, but soon fun shall turn to fear,  for deadly danger creeps their way  and it came from Goo Lagoon. 
SpongeBob and Patrick:	 Uh-oh.
Patrick:	 Hey, SpongeBob...
SpongeBob:	 Yes, Patrick?
Patrick:	 Do you know how to swim?
SpongeBob:	 No.
Patrick:	 Me neither.
SpongeBob:	 Hmm, I wonder why we're not sinking to the bottom of Goo Lagoon.  Patrick, you're floating!
Patrick:	 Oh.  Hey, you're floating too! What happened?
SpongeBob:	  These weird bubbles saved us.
Patrick:	  It's all purple and sticky.
SpongeBob:	  And it's really stretchy. It's some kind of goo bubble.
Patrick:	  Well, the smell makes my nose tickle.  Hey, it bounces! 
Patrick:	 Sorry! 
Plankton:	 Chum! Get your red, hot chum here! What's the deal? According to my algorithm,  beach-goers should be famished  and looking for a treat. A treat like chum! Hello? It's perfectly edible, people!  Oh, come on, man! This is my livelihood! 
Squidward:	  Ah, a beautiful day beachside. I couldn't think of a thing that could ruin this. 
Plankton:	 I could think of a few.
Squidward:	  Hey, you're blocking my light.  SpongeBob. 
Plankton:	 Ah, sweet karma. It can come from the most boneheaded of places.  Wait a second. What are those bouncing blobs of goo?
Squidward:	  I don't know and I don't care!  Hold it!  What I want to know is why you two have ruined my attempts of having an even tan!
SpongeBob:	 Oh, sorry, Squidward. We're riding on these cool  goo bubbles. They're floating out of Goo Lagoon. 
Sandy:	 Stop!  Those bubbles are dangerous!
Plankton:	 Dangerous?
SpongeBob:	  Fascinating. Tell us more.
Patrick:	 Yeah, but with visual aids.
Sandy:	 O-kay...  My scientific investigation has  revealed that deep beneath the lagoon floor is a volcanic pocket of super goo.  A crack has formed releasing bubbles of the goo to the surface which are toxic and very unstable. At any moment, it could lose its integrity and boom! It'll explode!
Plankton:	 That rodent's right. A giant goo bubble could really level the playing field. If someone were able to control its power, they'd control all of Bikini Bottom. And I'm going to be that someone. 
SpongeBob:	 It's so gooey. 
Patrick:	  I can fit it in my mouth. Oh, it tastes like liquorice.
Squidward:	  You idiots!  That goo is dangerous! Weren't you two morons listening?
Patrick:	  No, not really. I drifted off.
SpongeBob:	 But just look at all the cool stuff it can do.  You can make a hat.  Or a beard.
Patrick:	  Or an awesome toupée.
Squidward:	 Toupée? You mean hair?  How do I look?
Sandy:	 What is wrong with you people?! That goo can destroy everything!
Patrick:	  Seems safe to me.
Sandy:	 That's what they said about microwave ovens, dry cleaning, and corn dogs!
SpongeBob:	 See you later, Sandy.
Patrick:	 Yeah, these goo bubbles won't bounce themselves. 
Sandy:	 You have been warned! 
Sandals:	 Oh, man, where will we get another ball?
SpongeBob:	 Why not try a goo bubble? 
Pilar:	 Thanks.  Hey, it sticks like glue! Go long!  Awesome! I still got it! I wish I could swim. 
Thaddeus:	  It's so hot.  Oh, it's so cooling.  Thanks, goo!
Squidward:	 Thanks, goo!
Pilar:	  Thanks, goo!
Tommy, Sadie, Orange fish from earlier, Billy, Nazz-Mimi, and Brown girl fish:	 Thanks, goo!
Johnny Erain:	 And now we go to Perch Perkins  at the scene!
Perch Perkins:	 That's right! Perch Perkins here at Goo Lagoon, bringing you the latest on this Super Goo event.  What do you think of Super Goo, young man?
SpongeBob:	  I'm on TV!
Perch Perkins:	  And you, sir, what's your opinion?  Uh, sir?
Patrick:	  It's awesome.
