Meredith:	 Did you get stuck in the pet door again?
Isopod:	 I ain't gonna lie to you, Meredith, ,  I am NOT a happy camper!
Patrick:	 
Announcer:	 We'll be right back, with "The Giant Isopod Stuck in the Pet Door" show, after these messages!
Nick Fishkins:	 Homes, homes, homes, homes, homes! I'm Nick Fiskins and I wanna buy your home!
Patrick:	  What?
Nick:	 You heard me, I wanna buy your home!
Patrick:	 But my home's not for sale.
Nick:	  It doesn't matter to me, any condition,  any size, I'll buy your home! Sold!
Patrick:	  Sold? Where am I gonna live now?
SpongeBob:	 What's happening, Patrick, you going on a hike?
Patrick:	 It's a forever hike.
SpongeBob:	 A forever hike?
Patrick:	 Yeah. All because of Nick Fishkins.
SpongeBob:	 Who's Nick Fishkins?
Patrick:	 He shows up on television, and buys your home and there's nothing you can do about it.  Now I am doomed to walk the seas without a home.
SpongeBob:	 Aw, don't worry, Patrick, you can move in with me. We'll be roommates!
Patrick:	 Wow!
Nick:	 I'm Nick Fishkins and I wanna buy your home! Sold!
SpongeBob:	 Well, we might as well spend the night here. It's not so bad. We could make a home out of all this trash!
Patrick:	  Don't forget to make a garage for our new boat! 
Squidward:	  Hm? Huh, how strange. Usually I wake up each morning with a dark feeling of dread gnawing at my stomach. But today, I feel positively...happy!  ♪Smilin' rainbows, smilin' sun, smilin' rocks, and vegetation! Look ma, I'm dancing, and hear my song! The world is lovely when nothing is wrong! Everything's smiling, yes even me! Is this what they call feeling happy?!♪ 
SpongeBob:	  Morning, Squidward!
Squidward:	 Good morning, SpongeBob!  Oh,  why I felt great this morning, there was no SpongeBob.
Patrick:	  Hi, Squidward!
Squidward:	  Oh, what did you numbskulls do with the trash?
SpongeBob:	  Built a house. 
Squidward:	 What the -- why?
Patrick:	 Cause Nick Fishkins bought my home and then he bought SpongeBob's home.
SpongeBob:	 So now we live here.
Squidward:	 Oh, why didn't you just use the money that Nick Fishkins gave you to rent a room or buy a new home?
Patrick:	 Well, he hasn't paid us yet!
SpongeBob:	 Yeah, he said it right on the TV, "I wanna buy your home!" But we haven't seen any money!
Squidward:	 Ohhh...let me get this straight. You saw a TV commercial of Nick Fishkins saying he would buy your home and without meeting him or signing anything, you believe your homes have been sold? Now doesn't that seem weird, even to you?
Patrick:	 Really weird!
Squidward:	 Oh, listen you dumb--  Uh, you know, looks like you guys got Fishkinned, and well, there's nothing you can do about that! 
SpongeBob:	 Ready for work, Mr. Krabs!
Mr. Krabs:	  Wait a minute! What's the matter with you, boy?  You like you slept in a pile of trash!
SpongeBob:	 A pile-of-trash house! Patrick and I built one out back with all your garbage!
Mr. Krabs:	 With my garbage? On my land?! I'll be chargin' ye a reasonable rental fee.
SpongeBob:	  How much?
Mr. Krabs:	 Hmm...your paycheck oughtta cover it!
SpongeBob:	 Gee, I didn't know being homeless was so expensive.
Squidward:	  Ah, work is done!  Now I can go home to a SpongeBob-free zone and rearrange my doily collection!
SpongeBob:	  I miss the old neighborhood! I think I'm gonna visit my old house tonight!
Squidward:	 Uh, no, no, you don't wanna do that!
SpongeBob:	 Why?
Squidward:	 Well, a family has moved in there, with a lot of kids, and they don't like to be disturbed.
SpongeBob:	 How many's a lot?
Squidward:	 Oh, like, pfft, 12 kids!
SpongeBob:	 But if I just ask politely to visit do you think they--
Squidward:	 And they don't speak English! Uh, the Fishtraps only speak...German!
Patrick:	  Maybe I can move in with whoever's in my house.
Squidward:	 No no no, uh, a band lives there now!
Patrick:	 A rock band?
Squidward:	 Um, yes.
Patrick:	 Cause my house is a rock?
Squidward:	 Yes, a big rock band with like eight people and all sorts of musical equipment so there's only room for musicians! 
