Narrator:	 Fishermen have quite an effect on our undersea friends. 
Squidward:	 SpongeBob, have you finished swabbing the deck?
SpongeBob:	 Almost. There's a nasty barnacle under table nine. 
Mr. Krabs:	 They're back! They're back I tell ya! I saw it with me own eyes.  The hooks! The hooks!
Fred:	 How about a mint?
Mr. Krabs:	 The hooks! The hooks!
Tom:	 Can you make that to go?
Squidward:	  You don't know how lucky you are.
Mr. Krabs:	 The hooks. So there I was minding my own business...
Squidward:	 I'd love to hear one of your riveting sea tales, but I have to do my waste basket inspection.  Uh-huh. Mm-hmm. Oh, yeah. There's one.
Mr. Krabs:	 Fine, but don't say I didn't warn ya.
SpongeBob:	 Warn him about what, Mr. Krabs?
Mr. Krabs:	 The hooks, me bucko. They're back. Beware the hooks.
SpongeBob:	 The hooks?
Mr. Krabs:	 Aye.  The hooks. They dangle down and draw you close with their pleasing shapes and their beguiling colors. And just when you think you found the land of milk and honey they grab you by the britches...  ...and haul you way up high. Then higher, and higher, and higher   until you're hauled up to the surface flopping and gasping for breath. And then they cook ya, and then they eat ya, or worse...
SpongeBob:	  What could be worse than that?
Mr. Krabs:	 Gift shops. 
SpongeBob:	  Don't let em get me, Mr. Krabs.
Mr. Krabs:	 There, there, boy. They won't get ya. Not as long as you listen to ol Mr. Krabs. Now get back to the kitchen. Time is money.
SpongeBob:	 Aye, aye, Mr. Krabs. 
Patrick:	  Good morning, Krusty Krew.
SpongeBob:	 Hey, Patrick.
Patrick:	 Guess what? The carnivals in town. Come on, let's go.
SpongeBob:	 I can't leave now. I'm working.
Patrick:	 It's not leaving. It's just taking a break.  We're going to the carnival. We're going to the carni...  We're going to the carnival. We're going to the carnival. There it is, SpongeBob. The carnival is back in town.  I'm gonna be first in line for everything!
SpongeBob:	 Where is everybody?
Patrick:	 I don't know. There was one kid here, earlier.
SpongeBob:	 Doesn't look like any carnival I ever...  Excuse me.  Stop, Patrick! Don't touch it! This isn't the carnival, Patrick. Those are hooks. Mr. Krabs said they were really dangerous.
Patrick:	  Hmmm. I sense no danger here. How can they be dangerous? They're covered with free cheese!
SpongeBob:	 All I know is that Mr. Krabs said...Patrick, don't do that!
Patrick:	 Cheesy. No danger here. Go on, try it.
SpongeBob:	 But, Mr. Krabs said...
Patrick:	 SpongeBob, let me ask you something.  Does this look dangerous?
SpongeBob:	  Patrick, don't!
Patrick:	 Lighten up, will ya? Or do I have to eat all this cheese by mysel... 
SpongeBob:	  Patrick! Help! Oh, Patrick, help! Oh, Patrick, come back. Oh, my best friend.  Patrick, you're alive.
Patrick:	 Am I ever. You should try it.
SpongeBob:	 But...what about the surface, and your britches, and the gift shops.
Patrick:	 You just jump off before you get too high.
SpongeBob:	 Mr. Krabs said I shouldn't get near those things.
Patrick:	 Did he say you shouldn't climb on top of them and ride them like a horsey? 
SpongeBob:	 Well, no.
Patrick:	 Wheeee.
SpongeBob:	 I guess he didn't. 
Patrick:	 Hi Ho, Silverfish. Away! 
SpongeBob:	 Ready?
Patrick:	 Ready.
SpongeBob & Patrick:	 Geronimo! 
SpongeBob:	 This is more fun than double overtime at the Krusty Krab. 
Ivy:	 P.U.,  you call this food?!
Harold:	 My sandwich tastes like a fried boot!
Another Harold:	  My sandwich IS a fried boot!
Fred:	 Hurry it up, will ya? Were hungry over here. Look at us. My kids haven't eaten in three days and I'm dying. That's not how you're supposed to flip it. 
Squidward:	 Why do you wanna eat this stuff anyway?!
Mr. Krabs:	 Mr. Squidward, what the halibut is going on in here?
Squidward:	 It's a feeding frenzy, sir. And SpongeBob's not back from his break.  What?
Mr. Krabs:	 I thought you said SpongeBob was taking a break. No one's taking a break at the Krusty Krab since the Chum Famine of '59.  Now, what were you saying?
Squidward:	 He took a break.
Mr. Krabs:	  Alright, SpongeBob LazyPants, I'll find ya. This nose can smell laziness up to 10,000 leagues.  Aha! I'll give you a break you'll not soon forget.
Squidward:	 But Mr. Krabs, I still need help! 
Mr. Krabs:	  They should be right here. 
Patrick:	 Again?
SpongeBob:	 Again!
