Narrator:	 And now, SpongeBob checks his Instaclam.
SpongeBob:	 What wonders await me today?
SpongeBob:	 Ummmmmmmmm. Hmmmmmmmmmm.
SpongeBob:	 It's beautiful!
SpongeBob:	 Man, oh man do I love my job!
SpongeBob:	 Check it out! I guess it's plain to see who the true Kenny the Cat fan is!
SpongeBob:	 Good one Squidward!
SpongeBob:	 Goo Goo. Ga Ga!
SpongeBob:	 Awe, I remember my first visit to The Krusty Krab.
SpongeBob:	 Krabby Patty!  Yummy! 
Female voice:	 Come on down to the Chum Bucket for Chum Burgers, Cream Danish and...
SpongeBob:	 No! Nononono! 
SpongeBob:	 Wow pretty good!
SpongeBob:	 Deliciousness!
Gary:	 Meow!
SpongeBob:	 Fascinating. He has a sensationality!
Gary:	 Meow!
SpongebBob:	 Oh that's nice!
Gary:	 Meow!
SpongeBob:	 Time to wrap it up!
SpongeBob:	 Goo, Goo! Ga, Ga!
