Pirate on the Dinghy:	  I got it! I got it! I got it!
Look-out Post Pirate:	  Dinghy ahoy.  Dinghy off the port bow. Dinghy off the port bow!
Two Pirates:	 Dinghy off the port bow. Dinghy off the port bow!   Dinghy off the port bow!
One Pirate:	 Captain, dinghy off the... 
Captain:	 Dinghy. 
Pirate Formerly on the Dinghy:	 I got it! I got it.
Captain:	 Where is it?
Pirate Formerly on the Dinghy:	 It's right here, captain.
Captain:	  I never thought I'd see it with me own eye. Tickets to The SpongeBob Movie! 
Pirates:	 ♪Who lives in a pineapple under the sea? SpongeBob SquarePants. Absorbent and yellow and porous is he? SpongeBob SquarePants. If nautical nonsense be something you wish? SpongeBob SquarePants. Then drop on the deck and flop like a fish? SpongeBob SquarePants. SpongeBob SquarePants. SpongeBob SquarePants. Sponge-Bob Square-Pants. SpongeBob SquarePants. Sponge-Bob Square-Pants. SpongeBob SquarePants. SpongeBob SquarePants. SpongeBob SquarePants. SpongeBob SquarePants. Sponge-Bob Square-Pants!♪ 
French Narrator:	  Ah,the sea. So mysterious, so beautiful. So... uhh... wet.  Our story begins in Bikini Bottom's popular undersea eatery, the Krusty Krab restaurant, where...
Police:	 Back off! Back off! 
French Narrator:	 Hey, wait a minute. What is happening?
Mr. Krabs:	 Please settle down.  We've got a situation in there. I'd rather not discuss 'till me manager gets here.
Female Fish:	  Look, there he is.
SpongeBob:	 Talk to me, Krabs.
Mr. Krabs:	 Oh. It started out as a simple order: a Krabby Patty with cheese. When the customer took a bite, no cheese! 
SpongeBob:	 Get a hold of yourself, Eugene. I'm going in.  Take it easy, friend. I'm the manager of this establishment.  Everything's gonna be just fine.
Phil:	 I'm really scared here, man.
SpongeBob:	  You got a name?
Phil:	  Phil.
SpongeBob:	  You got a family, Phil?  Come on, Phil, stay with me. Let's hear about that family.
Phil:	 I got a wife and two beautiful children.
SpongeBob:	  That's what it's all about. I want you to do me a favor, Phil.
Phil:	 What?
SpongeBob:	  Say "cheese".  Order up.
All [But SpongeBob]:	  Three cheers for the manager! Hip! Hip! Hip! Hip! Hip! Hip! 
SpongeBob:	 Hooray! Gary! I had that dream again! And it’s finally going to come true!  Today! Sorry about this calendar.  Because today is the grand-opening ceremony for The Krusty Krab 2, where Mr. Krabs will announce the new manager.
Gary:	 Meow.
SpongeBob:	 Who's it gonna be, Gary? Well, let's ask my wall of 374 consecutive employee-of-the-month awards. 
SpongeBob E.O.T.M Awards:	 SpongeBob SquarePants!
SpongeBob:	 I'm ready. Promotion.  Cleanliness is next to manager-lines.  I'm ready. Promotion. I'm ready. Promotion.
Squidward:	 ♪La da dee, la da doo, la da dum, La da dee, la da doo, la da dum.♪
Squidward and SpongeBob:	  ♪La da dee, la da doo, la da dum,La da d...♪
Squidward:	 Huh?
SpongeBob:	 ♪...ee, la da doo, la da dum, Bum Bum Bum, Da da da...♪
Squidward:	  SpongeBob! What are you doing in here?
SpongeBob:	 I have to tell you something, Squidward.
Squidward:	 Whatever it is, can't it wait until we get to work?
SpongeBob:	 There's no shower at work.
Squidward:	 What do you want?
SpongeBob:	 I just wanted to say I'll be thanking you in my managerial acceptance speech today.
Squidward:	 Get out! 
SpongeBob:	 Okay. see you at the ceremony. 
Patrick:	 That sounds like the manager of the new Krusty Krab 2. Oops. Hold on. Congratulations, buddy.
SpongeBob:	 Oh, thanks, Patrick. And tonight, after my big promotion, we're gonna party till we're purple.
Patrick:	 Oh, I love being purple!
SpongeBob:	 We're going to the place where all the action is.
Patrick:	 You don't mean...?
SpongeBob:	 Oh, I mean.
SpongeBob and Patrick:	 Goofy Goober's Ice Cream Party Boat!
SpongeBob & Patrick:	 ♪Oh, I'm a Goofy Goober, yeah. You're a Goofy Goober, yeah. We're all Goofy Goobers, yeah. Goofy, goofy, goober, goober, yeah!♪
SpongeBob:	  I'd better get going. I'm ready. Promotion. I'm ready. Promotion.
Patrick:	 Good luck, SpongeBob. Hey, look for me at the ceremony. I got a little surprise for you. ♪I'm a Goofy Goober, yeah.♪ 
Perch Perkins:	 Hello, Bikini Bottom! Perch Perkins here, coming to you live from in front of The Krusty Krab restaurant, for years the only place to get a delicious and mouthwatering Krabby Patty. Until today, that is. That's right, folks. Longtime owner Mr. Krabs is opening a new restaurant called The Krusty Krab 2. First of all, congratulations, Mr. Krabs. 
Mr. Krabs:	 Hello. I like money.
Perch Perkins:	 What inspired you to build a second Krusty Krab right next door to the original?
Mr. Krabs:	 Money. 
Plankton:	 Curses! It's not fair. Krabs is being interviewed by Perch Perkins, and I've never even had one customer! 
