French Narrator:	 Ahh, another peaceful evening in Bikini Bottom. Listen to the tropical tranquility.  Uh-oh. 
SpongeBob:	  Trick-or-treat. Thank you.  You keep the change.  What?  I saw it! It was big! It was all wiggly! And it ate everything!
Patrick:	 That's horrible! 
SpongeBob:	 It was an Alaskan... Bull... Worm! 
Fred:	 He ate my wheelbarrow! 
Nancy Suzy Fish:	 He ate my children's homework! 
Awesome Fish/Fish 3:	  Do I need to say it?
Fish 4:	  How can we protect ourselves?
Mr. Krabs:	 I've got it! Let's all buy a Krabby Patty! 
Fish 5:	 We should lock our doors!
Mable:	 We should call my nephew!
Knight Fish:	 We should dig a moat!
Patrick:	 We should take Bikini Bottom, and push it somewhere else! 
Squidward:	 That idea may just be crazy enough... to get us all killed! 
Patrick:	  What's wrong with my idea?
Fish 1:	 Let's get someone to go after it!
Mr. Krabs:	 There ain't no one fool enough to take on an Alaskan Bull Worm! 
Unnamed Sailor:	 You got a bathroom in this place?
Mr. Krabs:	  In the back.
Unnamed Sailor:	  Thanks. 
Sandy:	  I'll catch your worm for ya, that is, if'n you're willing to pay! 
Mr. Krabs:	 No! You'll never get a cent out of me!  Never! I'd rather that worm come in here right now and eat you all alive!  Sorry.
Sandy:	  Aw shucks. I don't want your money. I was just playing up the drama of the moment, is all.  Nope. I'm gonna take that spineless critter down for nothing, 'cause this is personal. Look. My tail's gone!  Varmint must've got it while I had my back turned, the coward!  I am gonna get back what's mine! 
SpongeBob:	  What? But Sandy, you don't know what you're up against. We're talking about an Alaskan... Bull... Worm! 
Sandy:	 Well, I don't know nothing about Alaska, but looky here.  Back in Texas I wrangled bulls, and I wrangled worms.  Far as I'm concerned, doing 'em both together just saves rope. Now I'm gonna go kick me some worm tail! Yee-haw! 
SpongeBob:	 But Sandy, you don't know!
Sandy:	 Don't worry, SpongeBob. I won't be long. 
SpongeBob:	  Sandy! Sandy!
Mr. Krabs:	  Go get 'em, Sandy! We have the utmost confidence in you!  Now, what was that idea of yours?
Patrick:	 PUSH! 
SpongeBob:	 Wait! Sandy!
Sandy:	 Hey, SpongeBob, you coming to watch?
SpongeBob:	 Sandy, don't go!
Sandy:	 Why not?
SpongeBob:	 Sandy, I saw it! It's big... scary... and pink! 
Sandy:	 So's Patrick's belly button, but I ain't afraid of that neither!
SpongeBob:	 You'll get massacred! 
Sandy:	 SpongeBob, I'm from Texas. What you think is big and what I think is big are two totally different "big"s. Besides, he's got my tail. I can't take that sitting down.
SpongeBob:	 Okay, but what if the worm didn't take your tail?
Sandy:	 If that worm ain't got my tail, who does?
SpongeBob:	  Um, I do?
Sandy:	 You do? Where?
SpongeBob:	 Um... in my pocket.
Sandy:	 Well, why didn't you just say so? Give it here! Come on!  SpongeBob, that's a paper clip and a piece of string.
SpongeBob:	  No, it's not. This is your tail.
