Narrator:	 Ah, The Goo Lagoon. Where the sun is hot and the sunbathers are oh so cool. 
SpongeBob:	 What a beautiful day.
Patrick:	 You said it, pal.
SpongeBob:	 Can you believe that sun? 
Patrick:	 I could look at it all day. 
SpongeBob:	 Uhh, Patrick? 
Patrick:	 What?
SpongeBob:	 Nothing.
Patrick:	 So, how's that tan coming?
SpongeBob:	 I don't know. Let me check.  Looking good. How's yours?
Patrick:	 Just a minute, Ah!  I could have sworn I was laying on my back. 
SpongeBob:	 Hey, it's Larry, the lifeguard. 
Nancy Suzy Fish:	 Mr Lifeguard, can I feel your muscle?
Larry:	 Sure. Don't scratch the paint. 
Scooter:	 Lifeguard, hows the tubage?
Larry:	 Gnarly, dudes!
Scooter and friends:	 All right, yeah! Woohoo! 
Elderly Man:	 Lifeguard, can you point out the snack bar?
Larry:	 Right over there. But you guys are way too old and unsightly for my beach. And I'm afraid I'm going to have to ask you to leave.
Elderly Woman:	  So polite.
Elderly Man:	 Just like we raised him.
SpongeBob:	 What a guy. Is it any wonder he's so popular? Just imagine if I were a lifeguard.  That would be so cool.
Patrick:	 Oh, what do you want to be a lifeguard for? Nobody really likes those guys.  Being a lifeguard is so dumb. All they do is blow, blow, blow on their stupid whistles, rub, rub, rub that white stuff on their noses and show off their gross misshapen bodies! 
Nat:	 Dude, put that thing away. There are, like, children here. 
Patrick:	 I'm going to the snack bar. 
SpongeBob:	 Who needs to be a lifeguard? I'm cool.  I'm every bit as cool as Larry. And if I'm not, let me be struck by...  ...a flying ice cream truck.  AND LIVE! 
Larry:	  Please do not land flying ice cream trucks on the bathers.  SpongeBob, you OK?  Hey! I didn't know you were a lifeguard.
SpongeBob:	 Lifeguard?
Larry:	 The nose.
SpongeBob:	  White stuff. You think I'm a lifeguard?
Larry:	 Sure, theres no hiding the lifeguard look, SpongeBob, and you've got it.
SpongeBob:	 You really think so?
Larry:	 You bet I do. Say, we're a little shorthanded around here. How would you like to work the beach?
SpongeBob:	 (high voice) I'd love it! 
Larry:	 Alright.  Leave that on the bench, Kahuna. Hey, Annette, come here.  I want you to meet my buddy, SpongeBob.
SpongeBob:	 Hi. 
Larry:	 Hey, guy's a lifeguard. 
SpongeBob:	 It works.  Woohoo! That was the greatest, Larry.
Larry:	 Yeah. Say, how'd you like to take the second shift?
SpongeBob:	 By myself?
Larry:	 Only if you think you're ready. 
SpongeBob:	 I'm not just ready.  I'm ready, Freddie.
Larry:	 It's Larry. Well, I guess I'll just...
Fish #2:	 Help, help!  Help, help, help!
