TV:	  We now return to tonight's Creepy Time Theater presentation of .
Dan Povenmire:	 
SpongeBob:	 Hurry, Gary, the scary robot movie's on.
Gary:	 Meow.
SpongeBob:	 What do you mean I shouldn't watch this? Scary movies don't always freak me out.  What if Mom is a robot? What if Uncle Sherm is a robot? What if Gary is a robot? Gary?  Psst, Gary? Gere-Bear? 
Gary:	 Meow.
SpongeBob:	 Gary, if you were a robot, you'd tell me, right?
Gary:	 Meow.
SpongeBob:	 Oh, I've got nothing to worry about. And now to get a good night's sleep.  Robot! Oh my gosh!  Huh? 
Mr. Krabs:	 How about a little music to count me money to? 
Radio DJ:	  And now for the #1 song in Bikini Bottom: . 
Mr. Krabs:	 Hey, that's pretty catchy. Bee-bee-boo-bop, bee-bee-boo-beep. Yeah, that's not bad. I love this young people's music. 
SpongeBob:	 I surrender! Oh.
Squidward:	 SpongeBob! 
SpongeBob:	 Squidward, why are you wearing my hat on your nose?
Squidward:	  I'm not wearing your hat on my nose, I'm waiting for #17's order!
SpongeBob:	 #17 --  Krabby Patty and a medium beverage. Course. Sorry Squidward, I'm not really feeling myself today. I guess I'm a little bit jumpy. I keep thinking robots are taking over the world, probably on account of this movie I watched last night where robots take over the world. I even asked Gary if he was a robot! Pretty funny, huh?
Squidward:	  Hilarious. Just deliver the food.
SpongeBob:	  There you go! Enjoy your... Say, you're not a robot, are you?
Thaddeus:	 No, I'm not.
SpongeBob:	 Well, keep your eyes peeled.  They're everywhere. Back to work! 
Mr. Krabs:	  I feel completely recharged!
SpongeBob:	 That sounds like Mr. Krabs. 
Mr. Krabs:	 Come on, little buddy, play it again.  Please? One more time, for me.
SpongeBob:	 That was strange. Mr. Krabs was talking to his radio, and he said he feels "recharged."  If I didn't know better, I'd say he was...  ...a robot. Nah.
Mr. Krabs:	  Yes, hello. I was wondering if you could play that song again.
Radio DJ:	  Hmmm... which one, man?
Mr. Krabs:	 The one that goes "bee-boo-boo-bop, boo-boo-beep."
Radio DJ:	 No, man. You're thinking of "bee-boo-boo-bop, boo-boo-bop."
Mr. Krabs:	 Bee-boo-boo-boo-boo-bop,  bee-boo-boo-bop,  boo-boo-bee-bop?  Not bee-boo-boo-beep?  Bop?  Beep?  Boo-boo-bop? 
SpongeBob:	 Oh my gosh. Why was Mr. Krabs making all those beeping sounds? Could it be that he's...  ...a robot? Nah.  Oh, Squidward, it's terrible! Mr. Krabs... talking to radio... beeping sounds... strange dancing... robot!
Squidward:	  That's great, SpongeBob. Why don't you work on this problem back in the kitchen? 
SpongeBob:	 I'm serious, Squidward! Mr. Krabs is a robot. And I can prove it, too.
Squidward:	  How did you...?
SpongeBob:	 Let's see, in the movie the robots didn't have a sense of humor! They couldn't laugh. Hey, Mr. Krabs!
Mr. Krabs:	  What is it, boy?
SpongeBob:	 Squidward just told me a hilarious joke and I thought you might like to hear it.
Mr. Krabs:	 Is it true, Squidward? Is it hilarious?
Squidward:	 Umm... yeah, sure.
Mr. Krabs:	 Well, let's hear it, lad.
SpongeBob:	 Okay, here it goes! Uhh, how'd it go Squidward?
Squidward:	  Uhh, it went, umm, uhh, let's see, uhh... why couldn't the 11-year-old get into the pirate movie?
Mr. Krabs:	 Why?
Squidward:	 It was rated "R."  Arr! Because it's... about... pirates.
Mr. Krabs:	 I'm not paying you to do stand up, Mr. Squidward! Now get back to work!
SpongeBob:	  Not even a chuckle. See, Squidward? He didn't laugh because he couldn't laugh because he's...  ...a robot.
Squidward:	 There's a logical explanation why he didn't laugh, SpongeBob. He's obviously heard it before. The only reason you think Krabs is a robot is because you watched that stupid movie. Now why don't you...
SpongeBob:	 Hey, Mr. Krabs!
Mr. Krabs:	  What? What is it, boy?
SpongeBob:	 Squidward's father never hugged him. Isn't that sad? 
Mr. Krabs:	 Yes, I suppose that is rather sad, but Squidward can hug himself during his break! Now get back to work!
SpongeBob:	 Just like the robot in the movie. He couldn't cry either.
Squidward:	 SpongeBob, this is getting ridiculous. I'll have you know my father loved me very much!
SpongeBob:	 That's the final test, Squidward. The love test. Robots can't love.
Squidward:	 No, wait, SpongeBob!
SpongeBob:	 Hey, Mr. Krabs!
Mr. Krabs:	  What is it, SpongeBob?!
SpongeBob:	 I just wanted to tell you that Squidward loves you! 
Mr. Krabs:	 Get back to work, Mr. Squidward.
SpongeBob:	  Squidward? 
Mr. Krabs:	 Aw, me radio died!  Hmmm, these batteries still have a little juice in 'em. I know! I'll give 'em to Pearl for Christmas.  Me hard-boiled egg is ready!  I can already taste it. Come to Papa.  Got ya! And what good is a hot-boiled egg without a little salt? 
SpongeBob:	 Mr. Krabs!
Mr. Krabs:	  Ahhh! Oh, my eyes! 
SpongeBob:	 Mr... 
Squidward:	 Will you be quiet? Now listen, what did these robots in the movie look like?
SpongeBob:	 Well, they had piercing red eyes, metal pinchers for hands, and they ran on batteries.
Squidward:	 Okay, so tell me, does Mr. Krabs look anything like that?
Mr. Krabs:	 
SpongeBob & Squidward:	 
Mr. Krabs:	 
Squidward:	 I'll evacuate the customers, you call the navy!
SpongeBob:	  Hello, Operator? Get me the Navy!
Operator:	 Hello, you've reached the Navy's automated phone service.
SpongeBob:	 Squidward, the robots are running the Navy!
Squidward:	 Not the Navy!  Attention, everyone, run for your lives! Robots have taken over the world!  Our world!  What do we do now?
SpongeBob:	 I don't know.  Hey, a nickel! 
Squidward:	 SpongeBob.
SpongeBob:	 Sorry.
Mr. Krabs:	  Ah, that's better.  Bee-boo-boo-boo-bee-bop, boo-boo-bop.
Squidward:	 We need to find out what that robot did with the real Mr. Krabs, but how?
SpongeBob:	 Well, in the movie the hero teams up with a buddy, and they get the poop on the robot.
Squidward:	 They poop on the robot?
SpongeBob:	 Yeah, you know, they get the straight poop, ask questions, get information.
Squidward:	 I never thought I'd say this, but, SpongeBob, let's get that poop! How To Torture
Mr. Krabs:	 Oh, hello, boys.  What can I do for you?  Heh-heh, why did you lock the door?  Why do you have that rope? Who's watching the cash register?!  SpongeBob! Squidward! What's the meaning of this?! Untie me this instant!
Squidward:	 Shut up! 
Mr. Krabs:	 Sweet Davy Jones, what the heck is going on?!
Squidward:	 I said "shut up!", you bucket of bolts! 
SpongeBob:	 I can't take it! 
Squidward:	 SpongeBob, are you okay?
SpongeBob:	 Oh, Squidward, seeing you slap Mr. Krabs like that is just too horrible to watch!
Squidward:	 No, that's not Mr. Krabs. That's Robot Krabs. 
SpongeBob:	 Oh, yeah.
Squidward:	 And the only way to deal with these robot types is to find out what they know.
SpongeBob:	 Right. 
Squidward:	 SpongeBob, you got to ask him a question first.
SpongeBob:	 Oh, yeah. What color is my underwear? 
Squidward:	 SpongeBob, let me handle this.  Where's Mr. Krabs?
Mr. Krabs:	  What are you talking about? I'm Mr. Krabs. 
Squidward:	 We can do this all night if you want. Where's Mr. Krabs?
Mr. Krabs:	 I'm Mr. Krabs.
SpongeBob:	 Where's Mr. Krabs?
Mr. Krabs:	 I'm Mr. Krabs.
Squidward:	 Where's Mr. Krabs?
Mr. Krabs:	 I am Mr. Krabs! I am! I am! I am! I am! I am! I am! I am!
SpongeBob:	 This is one stubborn robot.
Mr. Krabs:	  What?!  You think I'm a robot?!
Squidward:	 We don't think; we know.
Mr. Krabs:	 That's the silliest thing I ever heard! I am Mr. Krabs!
Squidward:	  He's not cracking. We'll never get it out of him this way.
SpongeBob:	 I got an idea.  Keep an eye on him, Squidward. Don't fall for any of his robot tricks.  If Robot Krabs won't tell us where Mr. Krabs is, maybe one of his little robot friends will. 
Squidward:	 SpongeBob, uhh, that's a blender.
SpongeBob:	 Yeah, but I saw Mr. Krabs talking with his radio before. He called it his "little buddy."
Squidward:	 Oh, really? Put it on the table, SpongeBob.
Mr. Krabs:	 You're gonna interrogate my blender? You're crazy.
Squidward:	 We're just gonna see what your "little buddy" knows. 
Mr. Krabs:	  No, wait! What are you going to do with me blender?! That cost me money!
Squidward:	 Where's Mr. Krabs?  Not talking, eh? 
Mr. Krabs:	 No! That cost me $24.95!
SpongeBob:	 I guess it didn't know anything.
Squidward:	 Go get the toaster. 
Mr. Krabs:	 No, not me toaster. That cost me $32.50!  $62.67!  Four... well, actually, that one was a gift.  Nooo!
SpongeBob:	  This is the last robot, Squidward.
Mr. Krabs:	 No, not my cash register! I raised it myself. I got it when it was just a little calculator.  No! 
Squidward:	 I thought you said robots can't cry.
SpongeBob:	 I also said they couldn't love.
Mr. Krabs:	  I loved it like it was me own.
SpongeBob:	 Uh, at least he's not laughing.
Mr. Krabs:	 Oh, I remember the laughs we used to share! 
Squidward:	 SpongeBob uhh, how did that movie of yours end?
SpongeBob:	 The movie? Oh, yeah! The ending was great! Turns out there weren't any robots after all. It was just their... imagination.  Hey, it's time to feed Gary. 
Mr. Krabs:	  Squidward!
