Loading level lists...
Finished loading level lists
Loading user files...
Finished loading user files
Creating lexical profile...
Finished creating lexical profile

File name: C:/Users/user/Desktop/Big Data Analysis/Project/SpongeBob/speaker/SpongeBob.txt
Number of lines: 13348
Number of types: 8779
Number of tokens: 156266

Level list 1: 1_gsl_1st_1000.txt
Number of types: 4114
Number of groups (families): 998

Level list 2: 2_gsl_2nd_1000.txt
Number of types: 3708
Number of groups (families): 988

Level list 3: 3_awl_570.txt
Number of types: 3082
Number of groups (families): 569

Statistics
LEVEL	FILE	TOKEN	TOKEN%	CUMTOKEN%	TYPE	TYPE%	CUMTYPE%	GROUP	GROUP%	CUMGROUP%
1	1_gsl_1st_1000.txt	120621	77.19	77.19	2152	24.51	24.51	925	13.61	13.61
2	2_gsl_2nd_1000.txt	9975	6.38	83.57	1388	15.81	40.32	772	11.36	24.97
3	3_awl_570.txt	1142	0.73	84.3	425	4.84	45.16	286	4.21	29.18
0	-	24528	15.70	100	4814	54.84	100	4814	70.83	100.01
TOTAL:	156266			8779			6797

Table of ranges: Types
Types	No. of Files
8779	1
Table of ranges: Groups
Groups	No. of Files
1983	1

Groups Found In Base List 1
File name: 1_gsl_1st_1000.txt

Group	Range	Freq	uf_1
i	1	9176	9176
be	1	8573	8573
you	1	5971	5971
the	1	3908	3908
this	1	3881	3881
to	1	3131	3131
a	1	3122	3122
it	1	2891	2891
not	1	2874	2874
do	1	2846	2846
we	1	2062	2062
and	1	1902	1902
have	1	1628	1628
what	1	1452	1452
of	1	1422	1422
oh	1	1370	1370
get	1	1292	1292
m	1	1287	1287
mister	1	1286	1286
no	1	1228	1228
he	1	1159	1159
in	1	1074	1074
go	1	1053	1053
can	1	1030	1030
for	1	1001	1001
will	1	931	931
on	1	884	884
just	1	842	842
but	1	800	800
here	1	782	782
all	1	744	744
know	1	709	709
now	1	688	688
there	1	644	644
like	1	637	637
so	1	628	628
with	1	618	618
well	1	607	607
one	1	592	592
see	1	578	578
up	1	570	570
right	1	562	562
some	1	562	562
they	1	547	547
look	1	545	545
think	1	543	543
come	1	540	540
good	1	528	528
how	1	510	510
let	1	505	505
out	1	501	501
at	1	477	477
say	1	443	443
make	1	439	439
about	1	382	382
if	1	382	382
time	1	381	381
work	1	368	368
best	1	362	362
any	1	360	360
back	1	358	358
take	1	351	351
want	1	333	333
wait	1	322	322
need	1	321	321
sir	1	321	321
sure	1	315	315
could	1	309	309
ready	1	308	308
friend	1	289	289
every	1	282	282
little	1	282	282
mean	1	281	281
really	1	281	281
who	1	275	275
where	1	274	274
day	1	265	265
why	1	265	265
thing	1	261	261
too	1	261	261
would	1	253	253
great	1	252	252
more	1	247	247
help	1	246	246
yes	1	246	246
as	1	245	245
please	1	240	240
never	1	239	239
from	1	235	235
man	1	219	219
then	1	218	218
she	1	204	204
boy	1	202	202
should	1	198	198
d	1	192	192
win	1	192	192
tell	1	187	187
try	1	185	185
way	1	184	184
when	1	184	184
give	1	183	183
over	1	180	180
down	1	178	178
or	1	177	177
ever	1	175	175
play	1	175	175
find	1	174	174
home	1	174	174
again	1	171	171
new	1	170	170
two	1	163	163
eat	1	162	162
off	1	162	162
only	1	162	162
love	1	155	155
first	1	154	154
must	1	154	154
mrs	1	153	153
maybe	1	152	152
use	1	151	151
feel	1	149	149
call	1	148	148
big	1	145	145
night	1	137	137
by	1	136	136
stop	1	136	136
old	1	130	130
even	1	129	129
keep	1	126	126
still	1	126	126
happen	1	122	122
hear	1	122	122
today	1	122	122
late	1	118	118
long	1	118	118
secret	1	117	117
start	1	115	115
forget	1	114	114
life	1	112	112
much	1	107	107
name	1	107	107
show	1	107	107
around	1	106	106
house	1	106	106
because	1	105	105
hold	1	105	105
talk	1	105	105
order	1	103	103
close	1	102	102
put	1	101	101
remember	1	99	99
