 Ph0n7r1c: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Ph0n7r1c: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 NOTICE - The above was an exploit attempt that may have disconnected some users. Please ignore it, or type « /msg ubottu exploit » for more information.
 johanhar: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Asdfg_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 codex84: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Sirkill: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Lesterwood: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 vibhav: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 kssxs: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 sivau: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 sivau: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 sivau: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 crlcan81: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 vibhav: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Incarus6: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Hamza: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 loseweighttttttt: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 loseweighttttttt: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 PresuntoRJ: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Vustom: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 dregin1: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 aurelien_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Phalanx1234: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 loseweight: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 greenlantern: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 greenlantern: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 H4x0rs: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Mali: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 rafi: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 namzezam: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 NOTICE - The above was an exploit attempt that may have disconnected some users. Please ignore it, or type « /msg ubottu exploit » for more information.
 Isonyx: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 toad: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 ParkerR: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Arphetic: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 tbruff13: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 chaospsyX: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 boomboorum: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 haoron: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 pennnn: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 pennnn: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 d-snake: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Spiso: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 sahil: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Laggg: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 nnnnnnnwerwer: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 nnnnnnnwerwer: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 sahil: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 afkaway: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Magizian_^: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 howkj1: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Magizian_^: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 afkaway: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 hyu: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 hyu: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 bhavanshu: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 karthick87: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 pizza333: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 pizza333: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 nosea: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 nemo: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 mang0: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 mamad: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 koperino: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 antonio__: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 tbrew13: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Glycan: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 NO92: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
