 cordoval_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 mupeng: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 george: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 cordoval_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 cdoktor19: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 cordoval_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 isout1: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 isout1: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 john__: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 vibhav: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 vibhav: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Psydoll: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 william2: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 zfk: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 cordoval_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 mikebeecham: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Naphidia: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Soothsayer: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 vibhav: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 pmitros: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Ultimate_Chaos: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 eamon: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 owner: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Somelauw: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 nbf: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 ddd-222: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Steela: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
