 Salt: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 cordoval_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 cordoval_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 damien_mul: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Elssha: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 BinaryMan: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Herbs: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 schneidmaster: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 asiekierka: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 asiekierka: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 asiekierka: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 nasuta: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Kyubey: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 asiekierka: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 atharva: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 fubada: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Robert__: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 namzezam: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 gumus: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 bulk12: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 noody: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 azoz: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 honsson: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Cavisty^gerber: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 az7rb: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 PythonPup: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 dawn__: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 aliquis: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Abbas-uB: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 n2i: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 mmhouk: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 FanControl: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 nawk: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 toad__: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 toad__: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 binox: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 daniel_: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 POOPHAMMMER: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Baskak: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 amalgama: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 m13: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 milen8204: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 milen8204: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 Crazy: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
 nosea: Please don't flood; use http://paste.ubuntu.com to paste; don't use Enter as punctuation.
